arch,hb,mt,n_subjects,trial_n,trial_acc,trial_sens,trial_spec,trial_prec,trial_f1,subject_acc,subject_sens,subject_spec,subject_prec,subject_f1,subject_TN,subject_FP,subject_FN,subject_TP,n_subjects_disagreement,delta_f1_subject_vs_trial
ST,HBO,2,62,124,0.7903225806451613,1.0,0.6060606060606061,0.6904761904761905,0.8169014084507042,0.7419354838709677,1.0,0.5151515151515151,0.6444444444444445,0.7837837837837839,17,16,0,29,6,-0.033117624666920364
ST,HBO,4,62,248,0.7701612903225806,0.9913793103448276,0.5757575757575758,0.672514619883041,0.8013937282229965,0.7741935483870968,1.0,0.5757575757575758,0.6744186046511628,0.8055555555555556,19,14,0,29,15,0.004161827332559098
ST,HBR,2,62,124,0.8225806451612904,1.0,0.6666666666666666,0.725,0.8405797101449275,0.7580645161290323,1.0,0.5454545454545454,0.6590909090909091,0.7945205479452054,18,15,0,29,8,-0.04605916219972206
ST,HBR,4,62,248,0.8145161290322581,0.9913793103448276,0.6590909090909091,0.71875,0.8333333333333334,0.7741935483870968,1.0,0.5757575757575758,0.6744186046511628,0.8055555555555556,19,14,0,29,19,-0.02777777777777779
ST,HBT,2,62,124,0.782258064516129,1.0,0.5909090909090909,0.6823529411764706,0.8111888111888113,0.7419354838709677,1.0,0.5151515151515151,0.6444444444444445,0.7837837837837839,17,16,0,29,5,-0.02740502740502737
ST,HBT,4,62,248,0.7540322580645161,0.9655172413793104,0.5681818181818182,0.6627218934911243,0.7859649122807019,0.7419354838709677,1.0,0.5151515151515151,0.6444444444444445,0.7837837837837839,17,16,0,29,20,-0.0021811284969179834
SG,HBO,2,62,124,0.7096774193548387,1.0,0.45454545454545453,0.6170212765957447,0.763157894736842,0.6290322580645161,1.0,0.30303030303030304,0.5576923076923077,0.7160493827160493,10,23,0,29,10,-0.04710851202079269
SG,HBO,4,62,248,0.657258064516129,1.0,0.3560606060606061,0.5771144278606966,0.7318611987381703,0.6290322580645161,1.0,0.30303030303030304,0.5576923076923077,0.7160493827160493,10,23,0,29,12,-0.015811816022121006
SG,HBR,2,62,124,0.7419354838709677,1.0,0.5151515151515151,0.6444444444444445,0.7837837837837839,0.6774193548387096,1.0,0.3939393939393939,0.5918367346938775,0.7435897435897436,13,20,0,29,8,-0.04019404019404027
SG,HBR,4,62,248,0.6935483870967742,1.0,0.42424242424242425,0.6041666666666666,0.7532467532467533,0.6774193548387096,1.0,0.3939393939393939,0.5918367346938775,0.7435897435897436,13,20,0,29,10,-0.009657009657009663
SG,HBT,2,62,124,0.7096774193548387,1.0,0.45454545454545453,0.6170212765957447,0.763157894736842,0.6451612903225806,1.0,0.3333333333333333,0.5686274509803921,0.725,11,22,0,29,8,-0.03815789473684206
SG,HBT,4,62,248,0.6451612903225806,1.0,0.3333333333333333,0.5686274509803921,0.725,0.6451612903225806,1.0,0.3333333333333333,0.5686274509803921,0.725,11,22,0,29,11,0.0
