chromo,mt,K,F1,Acc,Sens,Spec,source,F1_baseline,dF1_pp
HBO,2,23,0.8169,0.7903,1.0000,0.6061,research/experiments/20260513/mt2/ST_GATv2_GNG_hbo_loso_mt2_noaug_20260513/ST_GATv2_GNG_hbo_loso_mt2_noaug_20260513_loso_overall.pkl,0.8169,0.0000
HBO,2,16,0.8143,0.7903,0.9828,0.6212,research/experiments/20260513/mt2/ST_GATv2_GNG_hbo_loso_mt2_noaug_K16_20260513/ST_GATv2_GNG_hbo_loso_mt2_noaug_K16_20260513_loso_overall.pkl,0.8169,-0.2616
HBO,2,12,0.8529,0.8387,1.0000,0.6970,research/experiments/20260513/mt2/ST_GATv2_GNG_hbo_loso_mt2_noaug_K12_20260513/ST_GATv2_GNG_hbo_loso_mt2_noaug_K12_20260513_loso_overall.pkl,0.8169,3.6040
HBO,2,8,0.8406,0.8226,1.0000,0.6667,research/experiments/20260513/mt2/ST_GATv2_GNG_hbo_loso_mt2_noaug_K08_20260513/ST_GATv2_GNG_hbo_loso_mt2_noaug_K08_20260513_loso_overall.pkl,0.8169,2.3678
HBO,4,23,0.8014,0.7702,0.9914,0.5758,research/experiments/20260513/mt4/ST_GATv2_GNG_hbo_loso_mt4_noaug_20260514/ST_GATv2_GNG_hbo_loso_mt4_noaug_20260514_loso_overall.pkl,0.8014,0.0000
HBO,4,16,0.8339,0.8185,0.9741,0.6818,research/experiments/20260513/mt4/ST_GATv2_GNG_hbo_loso_mt4_noaug_K16_20260514/ST_GATv2_GNG_hbo_loso_mt4_noaug_K16_20260514_loso_overall.pkl,0.8014,3.2555
HBO,4,12,0.8056,0.7742,1.0000,0.5758,research/experiments/20260513/mt4/ST_GATv2_GNG_hbo_loso_mt4_noaug_K12_20260513/ST_GATv2_GNG_hbo_loso_mt4_noaug_K12_20260513_loso_overall.pkl,0.8014,0.4162
HBO,4,8,0.8672,0.8629,0.9569,0.7803,research/experiments/20260513/mt4/ST_GATv2_GNG_hbo_loso_mt4_noaug_K08_20260513/ST_GATv2_GNG_hbo_loso_mt4_noaug_K08_20260513_loso_overall.pkl,0.8014,6.5794
HBR,2,23,0.8406,0.8226,1.0000,0.6667,research/experiments/20260513/mt2/ST_GATv2_GNG_hbr_loso_mt2_noaug_20260513/ST_GATv2_GNG_hbr_loso_mt2_noaug_20260513_loso_overall.pkl,0.8406,0.0000
HBR,2,16,0.8507,0.8387,0.9828,0.7121,research/experiments/20260513/mt2/ST_GATv2_GNG_hbr_loso_mt2_noaug_K16_20260513/ST_GATv2_GNG_hbr_loso_mt2_noaug_K16_20260513_loso_overall.pkl,0.8406,1.0167
HBR,2,12,0.8593,0.8468,1.0000,0.7121,research/experiments/20260513/mt2/ST_GATv2_GNG_hbr_loso_mt2_noaug_K12_20260513/ST_GATv2_GNG_hbr_loso_mt2_noaug_K12_20260513_loso_overall.pkl,0.8406,1.8680
HBR,2,8,0.8593,0.8468,1.0000,0.7121,research/experiments/20260513/mt2/ST_GATv2_GNG_hbr_loso_mt2_noaug_K08_20260513/ST_GATv2_GNG_hbr_loso_mt2_noaug_K08_20260513_loso_overall.pkl,0.8406,1.8680
HBR,4,23,0.8333,0.8145,0.9914,0.6591,research/experiments/20260513/mt4/ST_GATv2_GNG_hbr_loso_mt4_noaug_20260514/ST_GATv2_GNG_hbr_loso_mt4_noaug_20260514_loso_overall.pkl,0.8333,0.0000
HBR,4,16,0.8444,0.8306,0.9828,0.6970,research/experiments/20260513/mt4/ST_GATv2_GNG_hbr_loso_mt4_noaug_K16_20260514/ST_GATv2_GNG_hbr_loso_mt4_noaug_K16_20260514_loso_overall.pkl,0.8333,1.1111
