regime,mt,hb,rho_BA_mass,rho_BA_per_channel,jaccard_top3_per_channel,sg_top1_per_ch,st_top1_per_ch,rho_channel_rank,jaccard_top10,rho_pair_offdiag
kfold-5,2,hbo,1.0,0.2,1.0,BA10,BA9,0.167984,0.333333,0.39143
kfold-5,2,hbr,1.0,-0.8,0.5,BA10,BA9,-0.088933,0.25,0.261117
kfold-5,2,hbt,1.0,0.2,1.0,BA10,BA9,-0.019763,0.333333,0.374211
kfold-5,4,hbo,1.0,-0.8,0.5,BA10,BA8,-0.175889,0.333333,0.251462
kfold-5,4,hbr,1.0,-0.4,0.5,BA10,BA46,-0.094862,0.333333,0.211666
kfold-5,4,hbt,1.0,0.4,0.5,BA10,BA10,-0.018775,0.333333,0.303442
kfold-10,2,hbo,1.0,0.2,1.0,BA10,BA9,0.089921,0.25,0.352102
kfold-10,2,hbr,1.0,-0.4,0.5,BA10,BA9,0.134387,0.25,0.30947
kfold-10,2,hbt,1.0,0.2,1.0,BA10,BA9,0.007905,0.176471,0.324547
kfold-10,4,hbo,1.0,-0.8,0.5,BA10,BA46,-0.284585,0.333333,0.254636
kfold-10,4,hbr,1.0,-0.8,0.5,BA10,BA46,-0.344862,0.25,0.212414
kfold-10,4,hbt,1.0,-0.4,0.5,BA10,BA9,-0.078063,0.333333,0.230083
loso,2,hbo,1.0,-0.2,0.5,BA10,BA9,0.060277,0.428571,0.442901
loso,2,hbr,1.0,0.4,1.0,BA10,BA9,0.066206,0.428571,0.471724
loso,2,hbt,1.0,-0.2,0.5,BA10,BA9,0.11166,0.538462,0.445584
loso,4,hbo,1.0,-0.8,0.5,BA10,BA9,-0.166008,0.25,0.425129
loso,4,hbr,1.0,-0.8,0.5,BA10,BA9,-0.241107,0.25,0.497349
loso,4,hbt,1.0,-0.8,0.5,BA10,BA46,-0.215415,0.25,0.488642
