channel,ba_label,hemi,probability
S1_D1,Brodmann.10,L,1.00000000
S1_D3,Brodmann.10,L,1.00000000
S2_D2,Brodmann.10,R,1.00000000
S2_D1,Brodmann.10,R,1.00000000
S2_D5,Brodmann.9,R,1.00000000
S3_D1,Brodmann.9,L,1.00000000
S3_D3,Brodmann.9,L,1.00000000
S3_D4,Brodmann.9,L,1.00000000
S3_D6,Brodmann.8,L,1.00000000
S4_D4,Brodmann.9,R,1.00000000
S4_D5,Brodmann.9,R,1.00000000
S4_D7,Brodmann.8,R,1.00000000
S5_D2,Brodmann.10,R,1.00000000
S5_D5,Brodmann.46,R,1.00000000
S5_D8,Brodmann.46,R,1.00000000
S6_D3,Brodmann.46,L,1.00000000
S6_D6,Brodmann.8,L,1.00000000
S7_D4,Brodmann.8,L,1.00000000
S7_D6,Brodmann.8,L,1.00000000
S7_D7,Brodmann.8,R,1.00000000
S8_D5,Brodmann.9,R,1.00000000
S8_D7,Brodmann.8,R,1.00000000
S8_D8,Brodmann.8,R,1.00000000
