channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S8_D5,0.06564055,0.04673066,97,1
S4_D4,S8_D8,0.06422760,0.04223321,97,2
S4_D4,S7_D4,0.06164039,0.03862278,97,3
S1_D3,S4_D5,0.05938604,0.04046683,97,4
S4_D4,S4_D5,0.05932073,0.03658068,97,5
S4_D4,S8_D7,0.05856750,0.03884170,97,6
S4_D4,S6_D6,0.05854566,0.04236823,97,7
S2_D1,S4_D5,0.05793587,0.03847612,97,8
S4_D4,S5_D5,0.05784011,0.03950011,97,9
S4_D4,S5_D8,0.05634654,0.04116478,97,10
S4_D4,S6_D3,0.05614747,0.03735206,97,11
S3_D6,S6_D6,0.05546414,0.03952663,97,12
S2_D2,S4_D5,0.05514470,0.03745620,97,13
S1_D3,S2_D2,0.05488743,0.03388008,97,14
S1_D1,S2_D2,0.05484178,0.03443638,97,15
S7_D4,S8_D7,0.05370017,0.04303843,97,16
S4_D4,S7_D7,0.05336166,0.03630390,97,17
S2_D1,S5_D2,0.05313559,0.04270827,97,18
S1_D1,S4_D5,0.05273914,0.04015290,97,19
S3_D4,S4_D4,0.05250633,0.03443643,97,20
S4_D4,S7_D6,0.05235801,0.03994802,97,21
S1_D3,S4_D4,0.05217996,0.02948288,97,22
S3_D6,S8_D7,0.05193934,0.03305751,97,23
S4_D4,S5_D2,0.05183706,0.03497106,97,24
S3_D3,S4_D5,0.05139924,0.04346040,97,25
S3_D6,S8_D5,0.05114288,0.04231537,97,26
S5_D5,S8_D7,0.05098156,0.03136307,97,27
S3_D4,S4_D5,0.05093810,0.03908353,97,28
S4_D4,S4_D7,0.05040624,0.02983066,97,29
S6_D3,S8_D7,0.04996784,0.03524467,97,30
S3_D3,S7_D4,0.04979911,0.03597689,97,31
S5_D2,S8_D7,0.04943903,0.04046848,97,32
S8_D5,S8_D7,0.04925776,0.03695544,97,33
S2_D5,S4_D5,0.04912367,0.03596145,97,34
S2_D1,S4_D4,0.04897502,0.03667535,97,35
S1_D3,S3_D3,0.04882608,0.02867874,97,36
S2_D2,S4_D4,0.04871673,0.02713856,97,37
S3_D3,S5_D8,0.04863915,0.03575390,97,38
S4_D5,S4_D7,0.04863510,0.04075009,97,39
S1_D1,S4_D4,0.04835131,0.02734686,97,40
S3_D3,S8_D7,0.04827149,0.03470398,97,41
S3_D1,S4_D5,0.04808587,0.03913050,97,42
S1_D1,S5_D5,0.04805098,0.02566080,97,43
S3_D6,S7_D4,0.04798590,0.02710423,97,44
S1_D1,S1_D3,0.04793372,0.03060790,97,45
S7_D6,S8_D7,0.04786402,0.03026407,97,46
S5_D5,S8_D5,0.04784383,0.03510102,97,47
S3_D6,S7_D6,0.04768487,0.02681077,97,48
S3_D6,S6_D3,0.04757783,0.03410478,97,49
S3_D6,S5_D8,0.04742380,0.02323030,97,50
