channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.18531680,0.40842772,97,56,13
S1_D3,1.12907636,0.44433627,97,56,18
S2_D2,1.19839966,0.45452908,97,56,10
S2_D1,1.23560739,0.50831538,97,56,6
S2_D5,1.20128357,0.49002343,97,56,9
S3_D1,1.09803236,0.35338363,97,56,22
S3_D3,1.26851714,0.51067591,97,56,4
S3_D4,1.19637668,0.45104939,97,56,11
S3_D6,1.11083651,0.37834716,97,56,21
S4_D4,1.19591677,0.48866996,97,56,12
S4_D5,1.20847952,0.45855340,97,56,8
S4_D7,1.15872979,0.50677115,97,56,14
S5_D2,1.21810329,0.45975173,97,56,7
S5_D5,1.11678362,0.38831252,97,56,20
S5_D8,1.25007224,0.52213538,97,56,5
S6_D3,1.09634650,0.37107524,97,56,23
S6_D6,1.14236343,0.53715706,97,56,16
S7_D4,1.28137910,0.58914429,97,56,1
S7_D6,1.12493682,0.45501354,97,56,19
S7_D7,1.15212619,0.47059622,97,56,15
S8_D5,1.13876939,0.39770883,97,56,17
S8_D7,1.26893425,0.56093121,97,56,3
S8_D8,1.27087986,0.51952118,97,56,2
