channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.06725633,0.30036560,162,52,2
S1_D3,1.05728662,0.39411703,162,52,5
S2_D2,1.03146791,0.29275423,162,52,6
S2_D1,0.98380655,0.28622949,162,52,14
S2_D5,0.97564971,0.27977648,162,52,16
S3_D1,0.99741024,0.26745176,162,52,11
S3_D3,0.99670738,0.22765240,162,52,12
S3_D4,0.96638042,0.39262912,162,52,17
S3_D6,0.95507038,0.16812068,162,52,19
S4_D4,1.07503271,0.26473194,162,52,1
S4_D5,1.05879307,0.35567570,162,52,4
S4_D7,0.97625166,0.21449767,162,52,15
S5_D2,0.99233204,0.23716323,162,52,13
S5_D5,1.06363952,0.24831970,162,52,3
S5_D8,1.01285410,0.25040641,162,52,9
S6_D3,0.94713438,0.26736832,162,52,21
S6_D6,0.95105469,0.21389546,162,52,20
S7_D4,0.95727688,0.18500075,162,52,18
S7_D6,1.01208735,0.20229495,162,52,10
S7_D7,0.94025886,0.19777282,162,52,23
S8_D5,1.01458716,0.24948573,162,52,8
S8_D7,1.02537835,0.33452779,162,52,7
S8_D8,0.94228375,0.07236720,162,52,22
