channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.03445612,0.02960082,162,52,12
S1_D3,0.04161189,0.06100627,162,52,2
S2_D2,0.03513830,0.03806905,162,52,9
S2_D1,0.04695317,0.06325055,162,52,1
S2_D5,0.03283963,0.03169245,162,52,15
S3_D1,0.02903181,0.02787492,162,52,22
S3_D3,0.04132516,0.05587831,162,52,3
S3_D4,0.03172366,0.02906883,162,52,17
S3_D6,0.03078222,0.03157834,162,52,19
S4_D4,0.03333074,0.03767873,162,52,13
S4_D5,0.03030146,0.02862018,162,52,21
S4_D7,0.03524472,0.04779049,162,52,8
S5_D2,0.03237211,0.02395584,162,52,16
S5_D5,0.03104724,0.02472899,162,52,18
S5_D8,0.03292207,0.02886526,162,52,14
S6_D3,0.03772423,0.03880748,162,52,6
S6_D6,0.03961168,0.03708630,162,52,4
S7_D4,0.03032741,0.02438037,162,52,20
S7_D6,0.03504261,0.03168704,162,52,10
S7_D7,0.03855279,0.06133917,162,52,5
S8_D5,0.02865062,0.02409115,162,52,23
S8_D7,0.03468243,0.03370102,162,52,11
S8_D8,0.03617726,0.03836188,162,52,7
