channel_i,channel_j,mean,std,n_trials,rank
S2_D1,S4_D5,0.00110511,0.00921305,88,1
S2_D1,S3_D1,0.00103741,0.00594190,88,2
S2_D2,S8_D8,0.00061000,0.00408793,88,3
S4_D4,S7_D7,0.00049406,0.00303169,88,4
S2_D2,S2_D1,0.00048315,0.00221093,88,5
S3_D4,S4_D4,0.00040649,0.00166740,88,6
S1_D3,S6_D3,0.00028214,0.00132492,88,7
S2_D1,S4_D4,0.00027763,0.00226187,88,8
S4_D4,S8_D8,0.00027099,0.00253155,88,9
S1_D3,S2_D1,0.00026793,0.00330600,88,10
S7_D7,S8_D7,0.00026215,0.00329104,88,11
S3_D3,S6_D6,0.00024796,0.00285084,88,12
S1_D3,S6_D6,0.00022093,0.00228726,88,13
S4_D4,S7_D4,0.00021711,0.00140591,88,14
S5_D8,S8_D8,0.00021347,0.00124820,88,15
S2_D2,S3_D1,0.00020433,0.00083633,88,16
S2_D1,S5_D8,0.00019542,0.00228694,88,17
S2_D1,S2_D5,0.00017684,0.00179288,88,18
S4_D4,S7_D6,0.00017180,0.00136153,88,19
S2_D2,S3_D4,0.00016919,0.00097415,88,20
S3_D1,S8_D8,0.00016483,0.00108489,88,21
S1_D3,S5_D2,0.00015668,0.00086955,88,22
S3_D3,S3_D4,0.00014415,0.00095347,88,23
S2_D5,S4_D4,0.00013008,0.00168677,88,24
S2_D5,S4_D5,0.00012800,0.00185552,88,25
S3_D3,S8_D7,0.00011606,0.00117176,88,26
S2_D2,S7_D4,0.00011597,0.00103874,88,27
S6_D6,S8_D8,0.00010587,0.00089636,88,28
S4_D7,S6_D6,0.00010264,0.00105648,88,29
S1_D1,S4_D5,0.00009714,0.00096318,88,30
S1_D3,S2_D2,0.00009498,0.00095574,88,31
S5_D8,S7_D6,0.00008384,0.00173843,88,32
S1_D3,S8_D7,0.00007937,0.00123922,88,33
S4_D4,S8_D7,0.00007903,0.00084187,88,34
S2_D2,S8_D7,0.00007823,0.00091970,88,35
S3_D6,S7_D6,0.00007479,0.00088997,88,36
S4_D5,S4_D7,0.00007110,0.00097341,88,37
S5_D2,S7_D6,0.00006956,0.00075174,88,38
S2_D2,S4_D7,0.00006863,0.00071201,88,39
S2_D2,S6_D6,0.00006793,0.00096981,88,40
S3_D3,S4_D7,0.00006372,0.00105293,88,41
S4_D7,S5_D2,0.00005876,0.00048798,88,42
S4_D7,S8_D7,0.00005699,0.00103999,88,43
S1_D3,S4_D4,0.00005307,0.00051365,88,44
S2_D5,S8_D5,0.00005293,0.00169091,88,45
S2_D2,S7_D7,0.00004898,0.00084839,88,46
S3_D3,S7_D4,0.00004520,0.00087471,88,47
S5_D8,S8_D5,0.00004160,0.00058505,88,48
S4_D4,S8_D5,0.00004091,0.00190631,88,49
S4_D5,S5_D5,0.00003497,0.00068328,88,50
