channel_i,channel_j,mean,std,n_trials,rank
S2_D2,S2_D1,0.15135358,0.08415857,88,1
S4_D7,S8_D7,0.14558640,0.05858563,88,2
S4_D5,S4_D7,0.14448574,0.04629797,88,3
S3_D4,S4_D4,0.14384530,0.06679886,88,4
S4_D4,S7_D7,0.14317523,0.06993873,88,5
S4_D4,S4_D5,0.14288726,0.05746917,88,6
S3_D4,S8_D7,0.14216113,0.06856611,88,7
S1_D3,S3_D3,0.14182140,0.07001618,88,8
S4_D4,S8_D8,0.14147711,0.05966085,88,9
S2_D1,S4_D5,0.14121321,0.06270397,88,10
S3_D4,S3_D6,0.13938110,0.03658145,88,11
S2_D1,S5_D5,0.13922736,0.04435956,88,12
S8_D7,S8_D8,0.13912854,0.05756930,88,13
S4_D4,S5_D5,0.13902530,0.05487357,88,14
S7_D6,S8_D5,0.13882133,0.07115464,88,15
S4_D4,S8_D5,0.13856089,0.06071017,88,16
S4_D4,S7_D6,0.13810012,0.05729901,88,17
S4_D4,S8_D7,0.13808352,0.06225974,88,18
S1_D3,S8_D7,0.13794187,0.05459217,88,19
S2_D1,S5_D8,0.13774069,0.07454606,88,20
S4_D4,S7_D4,0.13755704,0.04944428,88,21
S3_D6,S7_D4,0.13744913,0.04366582,88,22
S5_D5,S6_D6,0.13727508,0.06384411,88,23
S8_D5,S8_D7,0.13691816,0.06669386,88,24
S2_D1,S7_D4,0.13664788,0.06252490,88,25
S4_D4,S4_D7,0.13661827,0.03332308,88,26
S2_D1,S2_D5,0.13596898,0.06263126,88,27
S2_D5,S7_D6,0.13590977,0.03848454,88,28
S7_D4,S7_D6,0.13503227,0.03033570,88,29
S1_D3,S6_D6,0.13493170,0.06314155,88,30
S2_D5,S6_D3,0.13492285,0.05893767,88,31
S4_D7,S7_D4,0.13468330,0.06903095,88,32
S4_D7,S8_D8,0.13462220,0.06039074,88,33
S7_D6,S8_D7,0.13461182,0.04953916,88,34
S3_D6,S4_D4,0.13450110,0.06136452,88,35
S4_D7,S7_D7,0.13439733,0.03779167,88,36
S3_D3,S8_D7,0.13415533,0.05880505,88,37
S4_D7,S5_D5,0.13400541,0.03049104,88,38
S3_D6,S8_D7,0.13397752,0.03738293,88,39
S6_D6,S7_D6,0.13395880,0.04184585,88,40
S3_D6,S6_D6,0.13391607,0.03831270,88,41
S3_D4,S4_D7,0.13389860,0.03845303,88,42
S2_D1,S5_D2,0.13382265,0.03341275,88,43
S1_D3,S3_D1,0.13369614,0.05897608,88,44
S2_D2,S3_D6,0.13351049,0.04855711,88,45
S3_D3,S3_D4,0.13347200,0.02914757,88,46
S2_D2,S3_D3,0.13276881,0.03209026,88,47
S2_D2,S8_D7,0.13258526,0.05736811,88,48
S7_D4,S8_D8,0.13241418,0.03209211,88,49
S4_D5,S8_D5,0.13234352,0.05032240,88,50
