channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S4_D7,0.04956618,0.01554008,88,1
S3_D6,S6_D6,0.04853018,0.01929534,88,2
S3_D6,S7_D4,0.04824501,0.02035496,88,3
S3_D6,S8_D7,0.04817159,0.01616593,88,4
S3_D1,S3_D6,0.04809959,0.01653814,88,5
S3_D1,S8_D7,0.04798336,0.01609113,88,6
S3_D6,S7_D6,0.04793008,0.01166548,88,7
S4_D5,S4_D7,0.04769750,0.01916499,88,8
S2_D5,S8_D7,0.04763050,0.01699311,88,9
S4_D5,S7_D4,0.04761893,0.01315798,88,10
S3_D3,S3_D4,0.04724177,0.01415309,88,11
S1_D3,S5_D8,0.04711077,0.01881647,88,12
S3_D1,S7_D4,0.04707836,0.01413955,88,13
S5_D8,S8_D8,0.04699953,0.01699902,88,14
S3_D6,S5_D8,0.04684911,0.02319702,88,15
S2_D1,S5_D8,0.04669175,0.01541097,88,16
S1_D1,S3_D3,0.04657310,0.01726009,88,17
S7_D4,S8_D7,0.04655674,0.01651532,88,18
S4_D5,S5_D5,0.04654041,0.01739667,88,19
S5_D5,S6_D3,0.04652684,0.01922263,88,20
S5_D5,S5_D8,0.04652452,0.01671791,88,21
S2_D1,S7_D4,0.04648456,0.01722181,88,22
S2_D1,S4_D4,0.04646840,0.02053946,88,23
S2_D5,S7_D6,0.04640146,0.02089553,88,24
S3_D1,S5_D8,0.04625769,0.01893066,88,25
S6_D3,S7_D7,0.04623229,0.01205021,88,26
S2_D1,S5_D2,0.04621246,0.01090873,88,27
S4_D5,S7_D6,0.04614081,0.01485472,88,28
S4_D4,S5_D8,0.04613528,0.02324031,88,29
S3_D1,S3_D4,0.04611106,0.01455892,88,30
S1_D1,S4_D4,0.04606531,0.01524494,88,31
S3_D1,S6_D3,0.04604719,0.01416934,88,32
S2_D1,S3_D3,0.04604438,0.02055476,88,33
S1_D3,S3_D3,0.04604150,0.01454187,88,34
S3_D3,S3_D6,0.04597850,0.01369830,88,35
S3_D1,S3_D3,0.04593789,0.01490059,88,36
S2_D5,S7_D4,0.04583305,0.02257073,88,37
S1_D1,S4_D7,0.04581849,0.01602224,88,38
S4_D4,S5_D2,0.04580702,0.01322573,88,39
S5_D5,S7_D4,0.04576897,0.01717165,88,40
S4_D4,S6_D6,0.04569858,0.01459690,88,41
S2_D5,S7_D7,0.04564290,0.01303226,88,42
S2_D5,S4_D4,0.04563734,0.01525944,88,43
S2_D5,S3_D1,0.04562538,0.01940189,88,44
S3_D4,S4_D4,0.04557546,0.01428062,88,45
S1_D3,S4_D4,0.04557541,0.01781090,88,46
S2_D1,S4_D5,0.04556392,0.01990423,88,47
S4_D4,S7_D7,0.04548474,0.01627553,88,48
S2_D1,S2_D5,0.04546205,0.01114738,88,49
S5_D5,S6_D6,0.04542290,0.01447231,88,50
