channel_i,channel_j,mean,std,n_trials,rank
S2_D1,S4_D5,0.00028722,0.00053792,88,1
S3_D1,S8_D7,0.00028609,0.00049141,88,2
S7_D4,S8_D7,0.00028303,0.00066985,88,3
S4_D4,S7_D7,0.00027926,0.00056619,88,4
S1_D1,S8_D7,0.00027663,0.00065194,88,5
S1_D3,S2_D1,0.00027570,0.00052434,88,6
S3_D1,S7_D4,0.00027427,0.00050511,88,7
S3_D6,S7_D6,0.00027219,0.00061034,88,8
S7_D7,S8_D7,0.00026977,0.00055054,88,9
S2_D2,S8_D7,0.00026870,0.00057201,88,10
S3_D6,S8_D7,0.00026778,0.00044700,88,11
S2_D1,S6_D6,0.00026730,0.00044382,88,12
S5_D2,S8_D7,0.00026591,0.00065129,88,13
S2_D1,S5_D2,0.00026426,0.00045417,88,14
S4_D4,S7_D6,0.00025913,0.00050559,88,15
S2_D1,S3_D3,0.00025177,0.00041165,88,16
S2_D1,S5_D8,0.00025059,0.00040403,88,17
S4_D4,S5_D8,0.00024845,0.00048786,88,18
S1_D1,S7_D7,0.00024375,0.00043731,88,19
S6_D6,S7_D6,0.00024181,0.00036340,88,20
S3_D1,S7_D7,0.00024027,0.00051808,88,21
S2_D1,S5_D5,0.00023994,0.00040161,88,22
S1_D1,S4_D5,0.00023945,0.00047009,88,23
S4_D7,S8_D7,0.00023711,0.00038449,88,24
S3_D3,S3_D4,0.00023672,0.00034038,88,25
S3_D6,S7_D4,0.00023603,0.00036595,88,26
S1_D1,S2_D1,0.00023553,0.00039150,88,27
S2_D1,S2_D5,0.00023535,0.00041280,88,28
S3_D3,S4_D5,0.00023502,0.00035887,88,29
S1_D1,S3_D3,0.00023492,0.00035693,88,30
S7_D6,S8_D7,0.00023226,0.00055754,88,31
S7_D6,S8_D5,0.00023217,0.00039544,88,32
S4_D4,S6_D6,0.00023207,0.00039313,88,33
S3_D1,S7_D6,0.00023136,0.00036802,88,34
S3_D4,S5_D2,0.00023002,0.00043399,88,35
S3_D3,S8_D7,0.00022972,0.00036521,88,36
S4_D4,S8_D7,0.00022965,0.00034849,88,37
S1_D1,S6_D6,0.00022895,0.00034800,88,38
S3_D3,S3_D6,0.00022874,0.00042044,88,39
S1_D1,S5_D2,0.00022827,0.00035109,88,40
S8_D5,S8_D8,0.00022826,0.00040808,88,41
S4_D7,S7_D6,0.00022816,0.00038170,88,42
S4_D7,S6_D6,0.00022554,0.00032225,88,43
S1_D1,S2_D5,0.00022439,0.00033781,88,44
S2_D2,S7_D7,0.00022435,0.00050164,88,45
S2_D1,S6_D3,0.00022408,0.00036616,88,46
S4_D4,S5_D5,0.00022404,0.00037588,88,47
S3_D1,S6_D6,0.00022306,0.00045270,88,48
S7_D6,S7_D7,0.00022266,0.00036621,88,49
S7_D4,S7_D6,0.00022256,0.00034628,88,50
