channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.01209530,0.01693105,88,49,5
S1_D3,0.01009133,0.01394664,88,49,14
S2_D2,0.00951863,0.01437558,88,49,18
S2_D1,0.01438030,0.02470715,88,49,2
S2_D5,0.00821391,0.00879367,88,49,23
S3_D1,0.01424526,0.03169096,88,49,3
S3_D3,0.01017428,0.01416508,88,49,13
S3_D4,0.01068141,0.01449000,88,49,10
S3_D6,0.00877229,0.01256890,88,49,21
S4_D4,0.01026057,0.01372377,88,49,12
S4_D5,0.01040829,0.01510810,88,49,11
S4_D7,0.01113165,0.01848483,88,49,9
S5_D2,0.00980689,0.01252299,88,49,16
S5_D5,0.01160742,0.02016310,88,49,6
S5_D8,0.01134815,0.01878218,88,49,8
S6_D3,0.00925862,0.01213998,88,49,20
S6_D6,0.01370343,0.02294969,88,49,4
S7_D4,0.00954803,0.01461037,88,49,17
S7_D6,0.00945755,0.01284326,88,49,19
S7_D7,0.01152451,0.01866841,88,49,7
S8_D5,0.01008332,0.01573795,88,49,15
S8_D7,0.00833273,0.01029577,88,49,22
S8_D8,0.01507010,0.02534771,88,49,1
