channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00661182,0.19119211,163,47,8
S1_D3,1.01524210,0.16307521,163,47,5
S2_D2,1.01171434,0.15868039,163,47,6
S2_D1,0.99121684,0.13129319,163,47,14
S2_D5,0.99094433,0.12538128,163,47,15
S3_D1,0.97086489,0.09725808,163,47,21
S3_D3,0.98289078,0.09807210,163,47,19
S3_D4,0.94021523,0.09441420,163,47,23
S3_D6,1.00888634,0.10952916,163,47,7
S4_D4,1.05933833,0.18946971,163,47,1
S4_D5,0.98872310,0.18318084,163,47,17
S4_D7,1.00633836,0.14758632,163,47,9
S5_D2,1.00132513,0.14172408,163,47,10
S5_D5,1.03358781,0.19551244,163,47,3
S5_D8,1.05348051,0.19620012,163,47,2
S6_D3,0.99390721,0.15147233,163,47,13
S6_D6,0.96712375,0.11607035,163,47,22
S7_D4,0.99902815,0.11526769,163,47,12
S7_D6,0.98905391,0.11695816,163,47,16
S7_D7,0.98591912,0.21172097,163,47,18
S8_D5,1.02516425,0.14478767,163,47,4
S8_D7,1.00104678,0.14700410,163,47,11
S8_D8,0.97737706,0.07386492,163,47,20
