channel_i,channel_j,mean,std,n_trials,rank
S1_D1,S2_D1,0.13307358,0.02259491,163,1
S3_D6,S6_D6,0.13212098,0.03325845,163,2
S4_D7,S5_D5,0.13052322,0.03229729,163,3
S2_D1,S5_D5,0.13026057,0.02405400,163,4
S2_D5,S7_D6,0.12908529,0.03017238,163,5
S4_D5,S4_D7,0.12901638,0.02369066,163,6
S4_D4,S7_D7,0.12872520,0.02433707,163,7
S8_D5,S8_D8,0.12867644,0.03627614,163,8
S4_D4,S5_D5,0.12865952,0.03726155,163,9
S3_D4,S6_D3,0.12847975,0.02510851,163,10
S2_D5,S4_D4,0.12829337,0.02846383,163,11
S5_D5,S5_D8,0.12795754,0.02894586,163,12
S3_D1,S3_D6,0.12779050,0.02831465,163,13
S2_D5,S5_D8,0.12766480,0.02796076,163,14
S2_D2,S8_D7,0.12763101,0.03686652,163,15
S4_D4,S4_D7,0.12760745,0.02291526,163,16
S4_D7,S7_D7,0.12751690,0.01772315,163,17
S5_D5,S8_D7,0.12732913,0.03963000,163,18
S5_D2,S5_D5,0.12715898,0.03226846,163,19
S3_D6,S7_D6,0.12715553,0.01895562,163,20
S7_D4,S7_D6,0.12714782,0.01757963,163,21
S4_D4,S7_D6,0.12707473,0.01761812,163,22
S5_D5,S8_D5,0.12686285,0.03039598,163,23
S4_D7,S5_D8,0.12685077,0.02665047,163,24
S8_D7,S8_D8,0.12662444,0.02308788,163,25
S2_D2,S8_D5,0.12654866,0.02878533,163,26
S4_D5,S5_D5,0.12641568,0.03028754,163,27
S4_D4,S4_D5,0.12638453,0.02193883,163,28
S8_D5,S8_D7,0.12631829,0.03427866,163,29
S2_D2,S2_D1,0.12629764,0.03076117,163,30
S3_D4,S3_D6,0.12629288,0.02068386,163,31
S5_D2,S7_D4,0.12623444,0.03398811,163,32
S2_D2,S3_D1,0.12623274,0.03093365,163,33
S5_D8,S8_D8,0.12599249,0.02601959,163,34
S2_D5,S8_D7,0.12595615,0.03500789,163,35
S3_D1,S6_D3,0.12563853,0.03407192,163,36
S2_D2,S7_D4,0.12541898,0.02956288,163,37
S6_D6,S7_D6,0.12512568,0.02685844,163,38
S2_D2,S5_D8,0.12510444,0.03578271,163,39
S2_D5,S5_D5,0.12475390,0.01784055,163,40
S2_D5,S3_D1,0.12460098,0.02650691,163,41
S4_D7,S8_D5,0.12453929,0.02760473,163,42
S2_D1,S3_D1,0.12447113,0.02802010,163,43
S3_D6,S6_D3,0.12436251,0.02623967,163,44
S4_D4,S8_D5,0.12427879,0.01936901,163,45
S5_D5,S6_D6,0.12426152,0.03091273,163,46
S4_D5,S8_D5,0.12425649,0.03023997,163,47
S2_D5,S7_D7,0.12423131,0.02228607,163,48
S3_D6,S7_D4,0.12419698,0.02498705,163,49
S2_D5,S6_D3,0.12417473,0.02738183,163,50
