channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.08475351,0.31950620,163,47,2
S1_D3,0.92928231,0.18178296,163,47,23
S2_D2,1.01603055,0.24672398,163,47,17
S2_D1,1.12317359,0.36065090,163,47,1
S2_D5,1.02334249,0.27176744,163,47,14
S3_D1,1.02831221,0.27720529,163,47,13
S3_D3,1.03939283,0.27063808,163,47,6
S3_D4,1.03721762,0.25948489,163,47,10
S3_D6,0.95468593,0.18868858,163,47,22
S4_D4,0.98965114,0.20949495,163,47,21
S4_D5,1.01313400,0.25986889,163,47,18
S4_D7,1.03886604,0.29963139,163,47,8
S5_D2,1.03349769,0.25238842,163,47,11
S5_D5,1.02325070,0.28870222,163,47,15
S5_D8,1.05072486,0.34627098,163,47,5
S6_D3,1.00688887,0.25410509,163,47,19
S6_D6,1.06209803,0.31572840,163,47,4
S7_D4,1.03939009,0.28341508,163,47,7
S7_D6,1.01910329,0.33136180,163,47,16
S7_D7,1.03809416,0.25806260,163,47,9
S8_D5,0.99649501,0.24297374,163,47,20
S8_D7,1.07759845,0.32552442,163,47,3
S8_D8,1.03238726,0.23142746,163,47,12
