channel_i,channel_j,mean,std,n_trials,rank
S3_D4,S3_D6,0.14409862,0.08158635,95,1
S3_D4,S6_D3,0.14339790,0.12919475,95,2
S4_D5,S4_D7,0.14292826,0.07802802,95,3
S4_D4,S5_D5,0.14102113,0.09080859,95,4
S3_D4,S6_D6,0.14015546,0.07752468,95,5
S7_D7,S8_D7,0.13989569,0.12391415,95,6
S1_D3,S8_D7,0.13967483,0.11835387,95,7
S3_D3,S6_D6,0.13922137,0.10088167,95,8
S4_D7,S5_D5,0.13915205,0.07681813,95,9
S4_D4,S6_D3,0.13907336,0.07635222,95,10
S4_D7,S5_D8,0.13769957,0.08750133,95,11
S5_D8,S8_D8,0.13445041,0.07848190,95,12
S4_D4,S5_D2,0.13411140,0.08859592,95,13
S3_D6,S5_D5,0.13400297,0.11215445,95,14
S2_D2,S3_D6,0.13379954,0.07560287,95,15
S2_D5,S5_D8,0.13341816,0.07432073,95,16
S2_D1,S5_D8,0.13336439,0.10607503,95,17
S3_D3,S7_D4,0.13323887,0.06690174,95,18
S2_D2,S8_D5,0.13321294,0.11319130,95,19
S3_D1,S6_D6,0.13317518,0.09944517,95,20
S3_D6,S6_D6,0.13291323,0.06273635,95,21
S3_D6,S5_D8,0.13279718,0.08572953,95,22
S2_D2,S8_D7,0.13259867,0.07998000,95,23
S1_D3,S7_D7,0.13235128,0.08933805,95,24
S2_D5,S4_D7,0.13221027,0.06789690,95,25
S2_D5,S6_D3,0.13167188,0.08201833,95,26
S4_D7,S8_D7,0.13149926,0.07515787,95,27
S2_D2,S5_D5,0.13137335,0.06975601,95,28
S4_D5,S7_D6,0.13135101,0.07329816,95,29
S3_D3,S3_D4,0.13108231,0.06603342,95,30
S7_D4,S7_D6,0.13059433,0.05869086,95,31
S5_D5,S7_D4,0.13029820,0.06727973,95,32
S2_D1,S5_D5,0.13008295,0.06731780,95,33
S6_D3,S8_D8,0.12999311,0.07439561,95,34
S3_D3,S4_D4,0.12997963,0.07951284,95,35
S7_D4,S8_D8,0.12990783,0.05876871,95,36
S3_D6,S7_D6,0.12986055,0.05391479,95,37
S4_D4,S4_D5,0.12980355,0.04914419,95,38
S2_D5,S3_D3,0.12962921,0.07628775,95,39
S2_D5,S5_D5,0.12946247,0.09105708,95,40
S3_D6,S7_D4,0.12942414,0.07378358,95,41
S4_D5,S5_D2,0.12914559,0.07965600,95,42
S3_D1,S7_D6,0.12912433,0.07947353,95,43
S2_D5,S7_D7,0.12909921,0.08106200,95,44
S2_D1,S5_D2,0.12891625,0.04830087,95,45
S3_D6,S8_D8,0.12865907,0.07921072,95,46
S3_D4,S4_D7,0.12858981,0.07231801,95,47
S4_D4,S7_D6,0.12852210,0.06753591,95,48
S3_D6,S8_D7,0.12827447,0.05834314,95,49
S5_D2,S7_D4,0.12821633,0.05888311,95,50
