channel_i,channel_j,mean,std,n_trials,rank
S3_D3,S3_D4,0.04667381,0.00593628,93,1
S7_D4,S8_D7,0.04643255,0.00746122,93,2
S4_D7,S8_D7,0.04624751,0.00615931,93,3
S3_D3,S7_D4,0.04615980,0.00476542,93,4
S1_D1,S1_D3,0.04609809,0.00715992,93,5
S1_D1,S2_D2,0.04571112,0.01178103,93,6
S2_D1,S5_D2,0.04566417,0.00580595,93,7
S5_D5,S7_D4,0.04564585,0.00746852,93,8
S3_D4,S3_D6,0.04561775,0.00604488,93,9
S3_D3,S6_D6,0.04557377,0.00504831,93,10
S8_D7,S8_D8,0.04542867,0.00752345,93,11
S3_D1,S3_D4,0.04541192,0.00932887,93,12
S5_D5,S8_D5,0.04540910,0.00590281,93,13
S1_D1,S4_D5,0.04535227,0.00732351,93,14
S5_D5,S5_D8,0.04533220,0.00562523,93,15
S3_D1,S3_D6,0.04525470,0.00780266,93,16
S3_D1,S4_D4,0.04524910,0.00674196,93,17
S4_D4,S8_D5,0.04523901,0.00799343,93,18
S1_D3,S5_D2,0.04523493,0.00666258,93,19
S3_D6,S7_D6,0.04522381,0.00545455,93,20
S1_D3,S5_D8,0.04516520,0.00502200,93,21
S7_D6,S8_D5,0.04513730,0.00791148,93,22
S5_D8,S8_D8,0.04512294,0.00918953,93,23
S4_D5,S4_D7,0.04508414,0.00694332,93,24
S1_D3,S3_D3,0.04507376,0.00623805,93,25
S4_D7,S8_D5,0.04505016,0.00798808,93,26
S4_D4,S7_D7,0.04502330,0.00660144,93,27
S3_D6,S8_D7,0.04500747,0.00615332,93,28
S2_D5,S7_D7,0.04497322,0.00871896,93,29
S5_D5,S7_D7,0.04496239,0.00641675,93,30
S4_D4,S4_D7,0.04495903,0.00636847,93,31
S3_D1,S7_D4,0.04494539,0.00748450,93,32
S4_D7,S7_D7,0.04492319,0.00533135,93,33
S3_D4,S4_D4,0.04492197,0.00811379,93,34
S4_D7,S5_D5,0.04490622,0.00785159,93,35
S5_D2,S8_D8,0.04489464,0.00734954,93,36
S4_D5,S5_D5,0.04488560,0.00701808,93,37
S2_D5,S3_D1,0.04485065,0.00664147,93,38
S3_D4,S6_D6,0.04484710,0.00811414,93,39
S7_D4,S7_D6,0.04483759,0.00609094,93,40
S1_D1,S3_D1,0.04482943,0.00655158,93,41
S5_D2,S8_D5,0.04481712,0.00865758,93,42
S5_D2,S7_D4,0.04476986,0.00713357,93,43
S2_D1,S4_D5,0.04476547,0.00734012,93,44
S1_D1,S3_D3,0.04474927,0.00880386,93,45
S3_D3,S7_D7,0.04473189,0.00699101,93,46
S7_D4,S7_D7,0.04470351,0.00998571,93,47
S4_D4,S5_D5,0.04464988,0.00636491,93,48
S5_D2,S8_D7,0.04464670,0.00718606,93,49
S6_D3,S7_D7,0.04464496,0.00823076,93,50
