channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00651073,0.05641095,93,52,7
S1_D3,0.99481142,0.05586897,93,52,17
S2_D2,0.99501866,0.06497405,93,52,16
S2_D1,0.98704600,0.07971584,93,52,21
S2_D5,0.99940878,0.05427556,93,52,13
S3_D1,1.00379443,0.04590046,93,52,10
S3_D3,1.01635671,0.04417066,93,52,1
S3_D4,0.99690491,0.05572921,93,52,14
S3_D6,0.99312472,0.04755683,93,52,18
S4_D4,1.01331961,0.04833300,93,52,2
S4_D5,0.99230570,0.06851315,93,52,19
S4_D7,1.00061262,0.06256177,93,52,11
S5_D2,0.99584299,0.06469121,93,52,15
S5_D5,1.01016557,0.05556499,93,52,4
S5_D8,0.99004263,0.06097724,93,52,20
S6_D3,0.98191887,0.06812077,93,52,23
S6_D6,0.98615563,0.05907677,93,52,22
S7_D4,1.01231611,0.05001086,93,52,3
S7_D6,1.00384629,0.06236555,93,52,9
S7_D7,1.00420666,0.05297161,93,52,8
S8_D5,1.00812471,0.05987911,93,52,5
S8_D7,1.00060260,0.07042517,93,52,12
S8_D8,1.00756347,0.05825648,93,52,6
