window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02470439,0.00521094
1,0.80000001,2.40000010,0.02386606,0.00593410
2,1.60000002,3.20000005,0.02444886,0.00609956
3,2.40000010,4.00000000,0.02457441,0.00671886
4,3.20000005,4.80000019,0.02489195,0.00663231
5,4.00000000,5.59999990,0.02486833,0.00666457
6,4.80000019,6.40000010,0.02502285,0.00609173
7,5.59999990,7.19999981,0.02572405,0.00615949
8,6.40000010,8.00000000,0.02591138,0.00626331
9,7.19999981,8.80000019,0.02572346,0.00633496
10,8.00000000,9.60000038,0.02582019,0.00624287
11,8.80000019,10.39999962,0.02551598,0.00559824
12,9.60000038,11.19999981,0.02594613,0.00501770
13,10.39999962,12.00000000,0.02596527,0.00442518
14,11.19999981,12.80000019,0.02600174,0.00492950
15,12.00000000,13.60000038,0.02699170,0.00655621
16,12.80000019,14.39999962,0.02651661,0.00697181
17,13.60000038,15.19999981,0.02637270,0.00724152
18,14.39999962,16.00000000,0.02608678,0.00577555
19,15.19999981,16.79999924,0.02603516,0.00671976
20,16.00000000,17.60000038,0.02683735,0.00736295
21,16.79999924,18.39999962,0.02588551,0.00618481
22,17.60000038,19.20000076,0.02573497,0.00576886
23,18.39999962,20.00000000,0.02590958,0.00639415
24,19.20000076,20.79999924,0.02672232,0.00668792
25,20.00000000,21.60000038,0.02656686,0.00623867
26,20.79999924,22.39999962,0.02598947,0.00611757
27,21.60000038,23.20000076,0.02557394,0.00502730
28,22.39999962,24.00000000,0.02619428,0.00525143
29,23.20000076,24.79999924,0.02582852,0.00525942
30,24.00000000,25.60000038,0.02619464,0.00601996
31,24.79999924,26.39999962,0.02599164,0.00630124
32,25.60000038,27.20000076,0.02555903,0.00632797
33,26.39999962,28.00000000,0.02524795,0.00662643
34,27.20000076,28.79999924,0.02519785,0.00637971
35,28.00000000,29.60000038,0.02493412,0.00628248
36,28.79999924,30.39999962,0.02545105,0.00655836
37,29.60000038,31.20000076,0.02481859,0.00677604
38,30.39999962,32.00000000,0.02437434,0.00662053
