channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.16191666,0.07476954,93,52,14
S1_D3,0.19844866,0.11651660,93,52,1
S2_D2,0.16335128,0.09295918,93,52,12
S2_D1,0.16106032,0.06250166,93,52,15
S2_D5,0.16719855,0.12184987,93,52,8
S3_D1,0.16466819,0.08899683,93,52,10
S3_D3,0.14398836,0.05459369,93,52,22
S3_D4,0.14786173,0.07582506,93,52,20
S3_D6,0.19106102,0.12406175,93,52,3
S4_D4,0.16302212,0.10171106,93,52,13
S4_D5,0.14012608,0.05652252,93,52,23
S4_D7,0.19727039,0.13362540,93,52,2
S5_D2,0.16434155,0.08849990,93,52,11
S5_D5,0.16524126,0.08246330,93,52,9
S5_D8,0.15492366,0.09217867,93,52,16
S6_D3,0.16770977,0.08253109,93,52,7
S6_D6,0.14761177,0.07771476,93,52,21
S7_D4,0.17011279,0.09731632,93,52,6
S7_D6,0.17734790,0.10604306,93,52,5
S7_D7,0.15188959,0.07081708,93,52,18
S8_D5,0.17901047,0.10408989,93,52,4
S8_D7,0.15104659,0.07238483,93,52,19
S8_D8,0.15422240,0.07291970,93,52,17
