channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00943744,0.06182292,98,52,5
S1_D3,0.99819213,0.05803915,98,52,13
S2_D2,0.99769437,0.05351316,98,52,14
S2_D1,0.98257530,0.09526295,98,52,23
S2_D5,1.00157058,0.04814631,98,52,10
S3_D1,0.99923378,0.04530251,98,52,11
S3_D3,1.00910091,0.04932804,98,52,6
S3_D4,0.99559319,0.05530787,98,52,16
S3_D6,0.99440104,0.04923371,98,52,18
S4_D4,1.01101184,0.04984185,98,52,3
S4_D5,0.99338502,0.06284579,98,52,19
S4_D7,0.99587160,0.05734196,98,52,15
S5_D2,0.99125916,0.06103607,98,52,20
S5_D5,1.01354396,0.04040683,98,52,1
S5_D8,0.99460852,0.05115921,98,52,17
S6_D3,0.98585725,0.06475697,98,52,22
S6_D6,0.98667800,0.05732114,98,52,21
S7_D4,1.01146722,0.04547058,98,52,2
S7_D6,1.00501060,0.04593713,98,52,9
S7_D7,1.00636065,0.05252521,98,52,8
S8_D5,1.00985157,0.04581201,98,52,4
S8_D7,0.99904829,0.06935570,98,52,12
S8_D8,1.00824785,0.05194966,98,52,7
