window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02605021,0.00327602
1,0.80000001,2.40000010,0.02572835,0.00395849
2,1.60000002,3.20000005,0.02550202,0.00417231
3,2.40000010,4.00000000,0.02567761,0.00427586
4,3.20000005,4.80000019,0.02600008,0.00438053
5,4.00000000,5.59999990,0.02626242,0.00447234
6,4.80000019,6.40000010,0.02626600,0.00443708
7,5.59999990,7.19999981,0.02598882,0.00437408
8,6.40000010,8.00000000,0.02562139,0.00436941
9,7.19999981,8.80000019,0.02545233,0.00415955
10,8.00000000,9.60000038,0.02542202,0.00380239
11,8.80000019,10.39999962,0.02548858,0.00377222
12,9.60000038,11.19999981,0.02561853,0.00349955
13,10.39999962,12.00000000,0.02571134,0.00369745
14,11.19999981,12.80000019,0.02554289,0.00357521
15,12.00000000,13.60000038,0.02593702,0.00373842
16,12.80000019,14.39999962,0.02600543,0.00390203
17,13.60000038,15.19999981,0.02610023,0.00358048
18,14.39999962,16.00000000,0.02622555,0.00383906
19,15.19999981,16.79999924,0.02627658,0.00380933
20,16.00000000,17.60000038,0.02625057,0.00344512
21,16.79999924,18.39999962,0.02626989,0.00324133
22,17.60000038,19.20000076,0.02604865,0.00340856
23,18.39999962,20.00000000,0.02579672,0.00343435
24,19.20000076,20.79999924,0.02573080,0.00348003
25,20.00000000,21.60000038,0.02582177,0.00400844
26,20.79999924,22.39999962,0.02552680,0.00360037
27,21.60000038,23.20000076,0.02522831,0.00353815
28,22.39999962,24.00000000,0.02493838,0.00358673
29,23.20000076,24.79999924,0.02484646,0.00337594
30,24.00000000,25.60000038,0.02471920,0.00372260
31,24.79999924,26.39999962,0.02489074,0.00419897
32,25.60000038,27.20000076,0.02505000,0.00490673
33,26.39999962,28.00000000,0.02527777,0.00541135
34,27.20000076,28.79999924,0.02533440,0.00562399
35,28.00000000,29.60000038,0.02542028,0.00570354
36,28.79999924,30.39999962,0.02543683,0.00549129
37,29.60000038,31.20000076,0.02544795,0.00534749
38,30.39999962,32.00000000,0.02508705,0.00519862
