channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13701853,0.00939033,98,52,9
S1_D3,0.15485699,0.01350059,98,52,1
S2_D2,0.13280734,0.01012752,98,52,15
S2_D1,0.14271857,0.00978284,98,52,4
S2_D5,0.11686873,0.01043415,98,52,23
S3_D1,0.14012562,0.01073795,98,52,7
S3_D3,0.13007101,0.00854591,98,52,17
S3_D4,0.12826005,0.00882828,98,52,18
S3_D6,0.13921811,0.01460814,98,52,8
S4_D4,0.12420984,0.01390830,98,52,22
S4_D5,0.12777266,0.04438912,98,52,20
S4_D7,0.13666633,0.03612557,98,52,11
S5_D2,0.13327497,0.00997541,98,52,13
S5_D5,0.13679765,0.00934069,98,52,10
S5_D8,0.12564923,0.00840518,98,52,21
S6_D3,0.15184332,0.01093682,98,52,2
S6_D6,0.12812790,0.01027277,98,52,19
S7_D4,0.14111362,0.00959220,98,52,6
S7_D6,0.14257267,0.01235331,98,52,5
S7_D7,0.13473600,0.00930183,98,52,12
S8_D5,0.14702953,0.01179465,98,52,3
S8_D7,0.13165414,0.01006151,98,52,16
S8_D8,0.13307093,0.00913998,98,52,14
