channel_i,channel_j,mean,std,n_trials,rank
S1_D1,S2_D2,0.04634192,0.00796637,191,1
S3_D3,S6_D3,0.04592503,0.00617943,191,2
S8_D5,S8_D7,0.04576658,0.00770281,191,3
S4_D7,S8_D7,0.04554005,0.00471456,191,4
S3_D3,S3_D4,0.04545164,0.00451016,191,5
S3_D1,S3_D6,0.04539409,0.00462219,191,6
S8_D5,S8_D8,0.04538203,0.00524868,191,7
S3_D6,S7_D6,0.04535483,0.00583828,191,8
S7_D4,S7_D6,0.04530475,0.00495150,191,9
S3_D3,S7_D6,0.04527567,0.00611581,191,10
S1_D3,S5_D2,0.04526794,0.00546557,191,11
S4_D4,S8_D5,0.04526334,0.00524039,191,12
S1_D1,S1_D3,0.04516015,0.00499093,191,13
S6_D3,S7_D7,0.04515810,0.00458245,191,14
S7_D7,S8_D7,0.04514774,0.00689597,191,15
S3_D6,S6_D6,0.04513188,0.00555556,191,16
S2_D5,S7_D6,0.04511919,0.00537537,191,17
S4_D7,S7_D7,0.04510326,0.00470449,191,18
S2_D2,S3_D1,0.04507953,0.00493948,191,19
S1_D3,S2_D2,0.04503275,0.00751923,191,20
S2_D5,S3_D1,0.04500107,0.00565483,191,21
S2_D2,S3_D3,0.04496264,0.00509095,191,22
S4_D7,S5_D8,0.04495052,0.00850535,191,23
S2_D2,S2_D5,0.04494736,0.00633015,191,24
S2_D5,S7_D7,0.04489927,0.00597725,191,25
S8_D7,S8_D8,0.04489489,0.00527015,191,26
S2_D2,S4_D4,0.04488204,0.00517287,191,27
S1_D1,S3_D1,0.04487575,0.00472851,191,28
S3_D3,S3_D6,0.04485832,0.00635216,191,29
S3_D3,S6_D6,0.04485093,0.00512847,191,30
S4_D4,S7_D7,0.04483095,0.00580505,191,31
S4_D7,S8_D5,0.04479958,0.00596619,191,32
S4_D5,S8_D5,0.04477324,0.00624204,191,33
S2_D2,S5_D5,0.04469421,0.00573821,191,34
S4_D7,S7_D6,0.04466929,0.00439799,191,35
S3_D1,S4_D4,0.04459269,0.00609322,191,36
S3_D4,S6_D3,0.04455839,0.00489695,191,37
S3_D6,S8_D7,0.04454766,0.00535753,191,38
S6_D6,S8_D8,0.04452245,0.00563567,191,39
S5_D8,S8_D8,0.04450653,0.00563968,191,40
S5_D2,S5_D5,0.04449551,0.00456049,191,41
S1_D1,S8_D5,0.04447516,0.00784701,191,42
S1_D3,S2_D5,0.04447430,0.00528694,191,43
S7_D6,S7_D7,0.04446885,0.00629497,191,44
S7_D4,S8_D5,0.04445275,0.00590720,191,45
S5_D5,S8_D7,0.04439360,0.00592988,191,46
S3_D4,S7_D4,0.04434767,0.01051078,191,47
S5_D5,S7_D6,0.04434045,0.00622738,191,48
S3_D6,S7_D4,0.04432188,0.00563986,191,49
S3_D4,S3_D6,0.04431336,0.00522623,191,50
