channel_i,channel_j,mean,std,n_trials,rank
S3_D4,S3_D6,0.13606797,0.05848353,191,1
S1_D1,S2_D1,0.13221042,0.05790220,191,2
S4_D5,S4_D7,0.13192563,0.04981790,191,3
S2_D2,S8_D7,0.13137124,0.05879005,191,4
S3_D4,S6_D6,0.12970425,0.04723857,191,5
S1_D3,S2_D2,0.12868254,0.07129361,191,6
S4_D4,S6_D3,0.12750196,0.03963944,191,7
S4_D4,S5_D5,0.12682183,0.05371682,191,8
S3_D6,S7_D6,0.12678139,0.04612790,191,9
S2_D2,S2_D1,0.12649654,0.04908519,191,10
S2_D5,S7_D6,0.12607397,0.03451803,191,11
S3_D1,S6_D3,0.12603867,0.05092773,191,12
S4_D4,S7_D4,0.12549004,0.04523501,191,13
S6_D6,S7_D6,0.12540103,0.03930766,191,14
S2_D2,S7_D4,0.12537235,0.04705740,191,15
S3_D6,S6_D6,0.12490228,0.02924761,191,16
S3_D4,S6_D3,0.12480392,0.03902406,191,17
S2_D5,S5_D5,0.12463578,0.03751700,191,18
S4_D4,S4_D7,0.12431546,0.04728292,191,19
S6_D6,S8_D8,0.12406005,0.03598931,191,20
S4_D7,S5_D8,0.12405895,0.04009472,191,21
S2_D2,S3_D6,0.12404618,0.02937396,191,22
S3_D3,S6_D3,0.12380344,0.03830384,191,23
S4_D5,S7_D4,0.12346759,0.03388656,191,24
S7_D4,S8_D5,0.12330976,0.04691346,191,25
S3_D1,S6_D6,0.12316476,0.04090174,191,26
S2_D2,S8_D5,0.12295689,0.03551212,191,27
S1_D1,S3_D6,0.12294722,0.04592405,191,28
S7_D4,S7_D6,0.12294365,0.02500611,191,29
S2_D5,S7_D7,0.12293943,0.04642806,191,30
S3_D3,S7_D4,0.12291964,0.03358874,191,31
S2_D1,S5_D2,0.12291309,0.04227689,191,32
S4_D7,S7_D7,0.12282902,0.02870988,191,33
S4_D7,S8_D7,0.12271919,0.03898071,191,34
S2_D1,S7_D6,0.12253887,0.05667455,191,35
S4_D4,S5_D2,0.12252995,0.04454856,191,36
S3_D4,S7_D4,0.12246075,0.03567774,191,37
S8_D7,S8_D8,0.12245781,0.02666079,191,38
S8_D5,S8_D8,0.12244786,0.02681172,191,39
S2_D2,S7_D6,0.12243704,0.04024964,191,40
S2_D5,S6_D3,0.12231975,0.03546889,191,41
S3_D6,S5_D8,0.12223522,0.04972566,191,42
S2_D2,S5_D5,0.12215944,0.03586474,191,43
S3_D1,S3_D6,0.12189776,0.02833664,191,44
S3_D4,S4_D7,0.12173312,0.03743798,191,45
S4_D5,S8_D7,0.12164441,0.04885730,191,46
S4_D5,S5_D5,0.12161964,0.03802174,191,47
S2_D2,S4_D4,0.12160838,0.04129515,191,48
S4_D4,S4_D5,0.12159978,0.03000383,191,49
S2_D2,S6_D6,0.12156263,0.04429492,191,50
