channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99858761,0.07338742,183,57,13
S1_D3,0.99461126,0.05257151,183,57,16
S2_D2,1.00560999,0.04942106,183,57,9
S2_D1,0.98416620,0.09009629,183,57,22
S2_D5,1.00608623,0.04703470,183,57,7
S3_D1,1.00765133,0.04056208,183,57,4
S3_D3,1.00455582,0.04759197,183,57,10
S3_D4,0.99171621,0.05951294,183,57,18
S3_D6,0.99837279,0.03815832,183,57,14
S4_D4,0.99020463,0.05374790,183,57,21
S4_D5,0.98179621,0.06392344,183,57,23
S4_D7,0.99698049,0.05208981,183,57,15
S5_D2,1.00258684,0.03949316,183,57,12
S5_D5,1.01639450,0.04019560,183,57,1
S5_D8,1.00750768,0.03622228,183,57,5
S6_D3,0.99181497,0.04941874,183,57,17
S6_D6,0.99131721,0.05135903,183,57,19
S7_D4,1.00386119,0.04247887,183,57,11
S7_D6,1.00672102,0.05013670,183,57,6
S7_D7,1.01266658,0.03627251,183,57,2
S8_D5,1.01043355,0.04833983,183,57,3
S8_D7,1.00577569,0.05081574,183,57,8
S8_D8,0.99058276,0.04839109,183,57,20
