channel_i,channel_j,mean,std,n_trials,rank
S4_D5,S4_D7,0.18889539,0.14443132,183,1
S3_D4,S6_D6,0.18714637,0.16001387,183,2
S3_D4,S3_D6,0.18285601,0.15250309,183,3
S4_D4,S5_D5,0.18078932,0.15061073,183,4
S4_D7,S5_D5,0.18046916,0.18061239,183,5
S2_D5,S7_D7,0.17975877,0.15703931,183,6
S2_D5,S6_D3,0.17927857,0.17360288,183,7
S2_D5,S5_D8,0.17919472,0.15432850,183,8
S2_D5,S7_D6,0.17877375,0.14969702,183,9
S3_D6,S6_D6,0.17861070,0.15882336,183,10
S3_D3,S6_D3,0.17722338,0.15243340,183,11
S3_D4,S6_D3,0.17669760,0.15406919,183,12
S2_D2,S8_D5,0.17646222,0.13744952,183,13
S3_D4,S5_D2,0.17634524,0.13369703,183,14
S4_D5,S5_D8,0.17598544,0.16559607,183,15
S4_D5,S5_D5,0.17547779,0.14725977,183,16
S4_D7,S5_D2,0.17540404,0.16597825,183,17
S2_D1,S5_D2,0.17505214,0.16079743,183,18
S4_D4,S6_D3,0.17496179,0.16999610,183,19
S1_D3,S2_D2,0.17480087,0.16043787,183,20
S4_D7,S6_D3,0.17354873,0.17310876,183,21
S1_D3,S8_D7,0.17346060,0.16416822,183,22
S2_D1,S5_D5,0.17337371,0.15355891,183,23
S3_D3,S6_D6,0.17336957,0.15087402,183,24
S1_D1,S7_D6,0.17245102,0.14101164,183,25
S5_D8,S8_D8,0.17213506,0.16227554,183,26
S3_D6,S5_D8,0.17188622,0.15042241,183,27
S3_D3,S5_D5,0.17168531,0.16214280,183,28
S3_D4,S5_D8,0.17152999,0.15013461,183,29
S3_D1,S6_D6,0.17134622,0.17571655,183,30
S4_D7,S7_D7,0.17127977,0.15162122,183,31
S2_D5,S4_D4,0.17121233,0.16720115,183,32
S2_D2,S4_D4,0.17115775,0.15428852,183,33
S4_D4,S5_D2,0.17096053,0.14067535,183,34
S2_D2,S5_D8,0.17040333,0.15201852,183,35
S3_D1,S3_D6,0.17034908,0.16916728,183,36
S2_D5,S4_D7,0.17029412,0.14605960,183,37
S1_D1,S2_D1,0.17023504,0.14471507,183,38
S3_D1,S6_D3,0.17017736,0.14129178,183,39
S2_D5,S5_D2,0.17007503,0.15988535,183,40
S4_D7,S5_D8,0.16988181,0.14381413,183,41
S2_D1,S6_D3,0.16983010,0.14467785,183,42
S1_D1,S1_D3,0.16981655,0.17816043,183,43
S2_D2,S5_D5,0.16963889,0.16028112,183,44
S6_D6,S8_D8,0.16951728,0.14481227,183,45
S1_D3,S7_D6,0.16947423,0.15834367,183,46
S2_D1,S7_D7,0.16906086,0.14188656,183,47
S3_D3,S7_D6,0.16905889,0.14103220,183,48
S2_D2,S5_D2,0.16895375,0.16638932,183,49
S3_D1,S4_D7,0.16892861,0.14290680,183,50
