window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02422503,0.00585860
1,0.80000001,2.40000010,0.02452928,0.00808486
2,1.60000002,3.20000005,0.02630932,0.00894679
3,2.40000010,4.00000000,0.02685067,0.00900588
4,3.20000005,4.80000019,0.02746193,0.00941216
5,4.00000000,5.59999990,0.02707004,0.01010326
6,4.80000019,6.40000010,0.02657127,0.00890335
7,5.59999990,7.19999981,0.02747303,0.00930250
8,6.40000010,8.00000000,0.02731792,0.01001510
9,7.19999981,8.80000019,0.02812573,0.01265520
10,8.00000000,9.60000038,0.02815458,0.01244511
11,8.80000019,10.39999962,0.02670830,0.01043594
12,9.60000038,11.19999981,0.02642228,0.00895058
13,10.39999962,12.00000000,0.02624104,0.00840132
14,11.19999981,12.80000019,0.02636793,0.00888482
15,12.00000000,13.60000038,0.02702067,0.01136965
16,12.80000019,14.39999962,0.02639940,0.01017796
17,13.60000038,15.19999981,0.02484166,0.00781651
18,14.39999962,16.00000000,0.02424117,0.00766316
19,15.19999981,16.79999924,0.02472046,0.00822741
20,16.00000000,17.60000038,0.02398785,0.00614268
21,16.79999924,18.39999962,0.02405494,0.00554073
22,17.60000038,19.20000076,0.02407107,0.00549991
23,18.39999962,20.00000000,0.02519853,0.00705114
24,19.20000076,20.79999924,0.02600329,0.00816464
25,20.00000000,21.60000038,0.02583054,0.00893392
26,20.79999924,22.39999962,0.02590732,0.00876621
27,21.60000038,23.20000076,0.02545767,0.00904718
28,22.39999962,24.00000000,0.02679972,0.00917814
29,23.20000076,24.79999924,0.02660432,0.00962955
30,24.00000000,25.60000038,0.02478608,0.00859391
31,24.79999924,26.39999962,0.02538004,0.00998529
32,25.60000038,27.20000076,0.02466005,0.00945971
33,26.39999962,28.00000000,0.02409588,0.00838726
34,27.20000076,28.79999924,0.02347721,0.00851630
35,28.00000000,29.60000038,0.02360499,0.00976008
36,28.79999924,30.39999962,0.02417913,0.01125160
37,29.60000038,31.20000076,0.02403936,0.01154535
38,30.39999962,32.00000000,0.02481028,0.01250011
