channel_i,channel_j,mean,std,n_trials,rank
S1_D1,S2_D2,0.04768917,0.01117742,172,1
S7_D4,S8_D7,0.04690304,0.01122341,172,2
S4_D7,S5_D8,0.04631821,0.01102474,172,3
S6_D3,S7_D7,0.04610310,0.00550641,172,4
S7_D6,S8_D5,0.04599896,0.00992980,172,5
S3_D3,S3_D6,0.04593550,0.00794598,172,6
S7_D7,S8_D7,0.04590829,0.00705142,172,7
S5_D2,S5_D8,0.04589844,0.00688498,172,8
S5_D2,S8_D5,0.04585317,0.00808479,172,9
S3_D4,S3_D6,0.04583132,0.00743200,172,10
S6_D6,S8_D8,0.04582863,0.00717627,172,11
S2_D5,S7_D6,0.04580071,0.00611029,172,12
S4_D4,S7_D7,0.04576821,0.00515751,172,13
S5_D5,S7_D7,0.04576573,0.00661714,172,14
S4_D7,S5_D5,0.04576154,0.00653345,172,15
S1_D3,S2_D2,0.04574783,0.00769934,172,16
S8_D5,S8_D7,0.04574348,0.00580630,172,17
S7_D6,S7_D7,0.04569801,0.00711427,172,18
S5_D2,S5_D5,0.04563134,0.00615173,172,19
S3_D3,S3_D4,0.04561222,0.00768772,172,20
S4_D7,S8_D7,0.04557154,0.00594862,172,21
S3_D3,S6_D3,0.04551407,0.00679671,172,22
S1_D1,S1_D3,0.04547611,0.00663685,172,23
S2_D5,S7_D7,0.04540398,0.00617521,172,24
S7_D4,S8_D5,0.04530956,0.00667205,172,25
S5_D8,S8_D8,0.04527353,0.00606793,172,26
S4_D7,S8_D5,0.04526282,0.00607959,172,27
S4_D4,S8_D5,0.04520380,0.00512666,172,28
S5_D5,S5_D8,0.04515436,0.00649432,172,29
S7_D4,S7_D6,0.04511077,0.00542940,172,30
S3_D3,S6_D6,0.04507956,0.00774221,172,31
S2_D2,S3_D3,0.04504375,0.00537017,172,32
S7_D7,S8_D5,0.04503148,0.00830857,172,33
S5_D2,S7_D4,0.04499924,0.00694747,172,34
S5_D5,S7_D6,0.04499005,0.00645796,172,35
S7_D4,S7_D7,0.04495066,0.00704104,172,36
S3_D1,S3_D6,0.04495039,0.00448542,172,37
S4_D7,S7_D7,0.04490351,0.00544768,172,38
S1_D3,S3_D1,0.04489096,0.00591449,172,39
S5_D5,S8_D8,0.04486730,0.00518414,172,40
S1_D1,S3_D1,0.04483416,0.00597170,172,41
S8_D7,S8_D8,0.04481312,0.00567675,172,42
S3_D1,S3_D3,0.04471851,0.00621927,172,43
S7_D4,S8_D8,0.04465020,0.00494901,172,44
S2_D5,S3_D1,0.04462192,0.00649077,172,45
S2_D2,S8_D5,0.04461799,0.00890659,172,46
S1_D1,S3_D3,0.04457986,0.00969686,172,47
S4_D5,S4_D7,0.04456590,0.00937160,172,48
S2_D2,S5_D5,0.04454650,0.00616693,172,49
S5_D8,S8_D7,0.04454308,0.00840209,172,50
