channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.23962189,0.18058020,172,54,16
S1_D3,0.28686374,0.21548891,172,54,2
S2_D2,0.25260222,0.19386756,172,54,10
S2_D1,0.26010516,0.18708357,172,54,8
S2_D5,0.23017761,0.18666445,172,54,20
S3_D1,0.26290855,0.19824395,172,54,7
S3_D3,0.23712298,0.18488434,172,54,19
S3_D4,0.21155961,0.15696117,172,54,23
S3_D6,0.28043726,0.21759158,172,54,3
S4_D4,0.25078741,0.20666234,172,54,12
S4_D5,0.22972037,0.18465981,172,54,21
S4_D7,0.27337050,0.20876206,172,54,5
S5_D2,0.24345599,0.18240760,172,54,14
S5_D5,0.23765229,0.17596503,172,54,17
S5_D8,0.22003120,0.16932398,172,54,22
S6_D3,0.27440286,0.19885659,172,54,4
S6_D6,0.23740995,0.17902049,172,54,18
S7_D4,0.25141785,0.18533370,172,54,11
S7_D6,0.26448548,0.20507476,172,54,6
S7_D7,0.25849706,0.19958182,172,54,9
S8_D5,0.28741103,0.22331746,172,54,1
S8_D7,0.24480502,0.18664080,172,54,13
S8_D8,0.24260606,0.19317456,172,54,15
