channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00725973,0.05689493,102,55,6
S1_D3,1.00122809,0.05513870,102,55,12
S2_D2,0.99818182,0.04810595,102,55,14
S2_D1,0.98749888,0.07449625,102,55,21
S2_D5,1.00151944,0.04795706,102,55,11
S3_D1,1.00622869,0.04892568,102,55,7
S3_D3,1.01272571,0.04070457,102,55,2
S3_D4,1.00057483,0.04908891,102,55,13
S3_D6,0.99130583,0.04738342,102,55,18
S4_D4,1.01408708,0.04491990,102,55,1
S4_D5,0.99127495,0.06189476,102,55,19
S4_D7,1.00398195,0.05334049,102,55,9
S5_D2,0.99585760,0.06121831,102,55,17
S5_D5,1.01131475,0.04538114,102,55,3
S5_D8,0.98950607,0.07001800,102,55,20
S6_D3,0.98534209,0.06466822,102,55,22
S6_D6,0.98217267,0.06021129,102,55,23
S7_D4,1.00929356,0.04650363,102,55,4
S7_D6,1.00447500,0.04614398,102,55,8
S7_D7,1.00300312,0.05118758,102,55,10
S8_D5,1.00868213,0.04650396,102,55,5
S8_D7,0.99661732,0.06988909,102,55,16
S8_D8,0.99786878,0.06756332,102,55,15
