window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02594728,0.00330149
1,0.80000001,2.40000010,0.02593372,0.00450739
2,1.60000002,3.20000005,0.02593887,0.00523186
3,2.40000010,4.00000000,0.02552702,0.00504046
4,3.20000005,4.80000019,0.02523077,0.00504931
5,4.00000000,5.59999990,0.02478394,0.00490714
6,4.80000019,6.40000010,0.02450009,0.00495463
7,5.59999990,7.19999981,0.02432202,0.00521036
8,6.40000010,8.00000000,0.02434510,0.00492556
9,7.19999981,8.80000019,0.02422363,0.00424474
10,8.00000000,9.60000038,0.02403611,0.00396515
11,8.80000019,10.39999962,0.02417478,0.00390465
12,9.60000038,11.19999981,0.02414484,0.00382520
13,10.39999962,12.00000000,0.02433617,0.00380660
14,11.19999981,12.80000019,0.02453211,0.00394648
15,12.00000000,13.60000038,0.02469718,0.00379345
16,12.80000019,14.39999962,0.02474496,0.00387145
17,13.60000038,15.19999981,0.02481216,0.00384597
18,14.39999962,16.00000000,0.02532433,0.00391519
19,15.19999981,16.79999924,0.02537864,0.00408019
20,16.00000000,17.60000038,0.02540902,0.00418407
21,16.79999924,18.39999962,0.02545249,0.00378146
22,17.60000038,19.20000076,0.02538258,0.00374720
23,18.39999962,20.00000000,0.02550960,0.00367951
24,19.20000076,20.79999924,0.02581879,0.00392387
25,20.00000000,21.60000038,0.02604618,0.00411073
26,20.79999924,22.39999962,0.02632578,0.00431082
27,21.60000038,23.20000076,0.02635510,0.00458236
28,22.39999962,24.00000000,0.02663857,0.00424834
29,23.20000076,24.79999924,0.02680136,0.00427631
30,24.00000000,25.60000038,0.02678017,0.00415694
31,24.79999924,26.39999962,0.02681354,0.00441381
32,25.60000038,27.20000076,0.02677196,0.00459195
33,26.39999962,28.00000000,0.02718967,0.00496708
34,27.20000076,28.79999924,0.02701478,0.00505954
35,28.00000000,29.60000038,0.02697077,0.00526205
36,28.79999924,30.39999962,0.02727661,0.00538187
37,29.60000038,31.20000076,0.02732984,0.00565621
38,30.39999962,32.00000000,0.02717942,0.00619028
