channel_i,channel_j,mean,std,n_trials,rank
S3_D4,S3_D6,0.14052682,0.05765758,102,1
S4_D5,S4_D7,0.13657117,0.04404812,102,2
S3_D4,S6_D6,0.13411190,0.05628609,102,3
S3_D6,S6_D6,0.13285929,0.05873866,102,4
S4_D4,S4_D7,0.13271098,0.05740231,102,5
S1_D1,S2_D1,0.13255700,0.05954032,102,6
S3_D3,S3_D4,0.13253736,0.05383711,102,7
S4_D4,S4_D5,0.13218935,0.05815898,102,8
S2_D5,S7_D6,0.13127829,0.05595124,102,9
S4_D4,S6_D3,0.13120912,0.03789711,102,10
S4_D4,S7_D7,0.13119949,0.03162803,102,11
S4_D4,S8_D8,0.13047677,0.05498503,102,12
S4_D7,S7_D7,0.13031334,0.05276644,102,13
S4_D4,S5_D5,0.13022114,0.03207182,102,14
S2_D2,S3_D6,0.12996522,0.06453044,102,15
S3_D3,S7_D4,0.12995692,0.03343559,102,16
S4_D5,S7_D6,0.12956557,0.06137247,102,17
S4_D7,S5_D8,0.12950118,0.05526945,102,18
S1_D1,S3_D6,0.12943839,0.05831210,102,19
S3_D4,S6_D3,0.12937969,0.05288646,102,20
S2_D5,S3_D3,0.12910540,0.05890960,102,21
S4_D5,S5_D5,0.12909608,0.05630064,102,22
S3_D3,S6_D6,0.12886989,0.04574829,102,23
S1_D3,S3_D3,0.12880257,0.05564350,102,24
S2_D5,S3_D6,0.12868495,0.04427462,102,25
S4_D5,S5_D8,0.12794638,0.05575357,102,26
S3_D4,S7_D4,0.12789521,0.05824718,102,27
S4_D4,S8_D7,0.12786022,0.05901691,102,28
S3_D1,S6_D6,0.12784810,0.05592043,102,29
S1_D1,S3_D4,0.12777306,0.05777638,102,30
S2_D1,S4_D5,0.12775157,0.05022645,102,31
S4_D7,S7_D4,0.12769870,0.05959262,102,32
S1_D1,S4_D5,0.12767339,0.05727950,102,33
S4_D4,S5_D8,0.12763941,0.06012826,102,34
S5_D8,S8_D8,0.12746499,0.03337927,102,35
S1_D3,S7_D4,0.12718897,0.03645756,102,36
S1_D1,S2_D5,0.12715089,0.05777312,102,37
S7_D4,S8_D8,0.12713605,0.02828809,102,38
S2_D1,S5_D5,0.12710986,0.02701525,102,39
S5_D5,S5_D8,0.12706716,0.05819782,102,40
S6_D3,S7_D7,0.12695879,0.03107762,102,41
S2_D1,S5_D2,0.12693362,0.03058185,102,42
S6_D3,S6_D6,0.12690502,0.04772889,102,43
S3_D4,S4_D7,0.12674238,0.03653935,102,44
S3_D6,S7_D4,0.12673517,0.05786217,102,45
S2_D2,S7_D4,0.12666175,0.03150420,102,46
S2_D5,S7_D7,0.12652630,0.05572900,102,47
S4_D4,S7_D6,0.12635687,0.03137164,102,48
S3_D1,S7_D4,0.12624966,0.05305733,102,49
S2_D1,S2_D5,0.12623774,0.04927680,102,50
