channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S8_D5,0.04543293,0.00437190,202,1
S7_D4,S7_D6,0.04541861,0.00424052,202,2
S3_D6,S7_D6,0.04535496,0.00468055,202,3
S3_D3,S7_D6,0.04533460,0.00516352,202,4
S3_D1,S3_D6,0.04529233,0.00500600,202,5
S2_D5,S7_D6,0.04526862,0.00527269,202,6
S8_D5,S8_D7,0.04525748,0.00520212,202,7
S3_D3,S3_D4,0.04525042,0.00474167,202,8
S1_D1,S2_D2,0.04523971,0.00721769,202,9
S2_D2,S5_D5,0.04522844,0.00541868,202,10
S8_D7,S8_D8,0.04518445,0.00523697,202,11
S1_D3,S5_D2,0.04517722,0.00544629,202,12
S4_D7,S8_D7,0.04517026,0.00479425,202,13
S3_D3,S3_D6,0.04507326,0.00596032,202,14
S1_D3,S2_D2,0.04504423,0.00538431,202,15
S3_D3,S6_D6,0.04501381,0.00711125,202,16
S1_D1,S1_D3,0.04490323,0.00487125,202,17
S3_D6,S6_D6,0.04488659,0.00624206,202,18
S3_D3,S6_D3,0.04488335,0.00610970,202,19
S4_D7,S7_D6,0.04486437,0.00389153,202,20
S4_D7,S5_D8,0.04483622,0.00649801,202,21
S4_D4,S7_D7,0.04480124,0.00459451,202,22
S3_D1,S3_D4,0.04477471,0.00446690,202,23
S2_D2,S2_D5,0.04477086,0.00612016,202,24
S5_D5,S8_D8,0.04476954,0.00483614,202,25
S1_D3,S2_D5,0.04474979,0.00453817,202,26
S1_D3,S5_D8,0.04474910,0.00485855,202,27
S4_D7,S7_D7,0.04473139,0.00512219,202,28
S5_D8,S8_D8,0.04472036,0.00562726,202,29
S4_D5,S8_D5,0.04465431,0.00535330,202,30
S2_D5,S3_D1,0.04464776,0.00510674,202,31
S2_D5,S7_D7,0.04464169,0.00631635,202,32
S3_D4,S3_D6,0.04462687,0.00482904,202,33
S2_D2,S3_D1,0.04462416,0.00474777,202,34
S7_D7,S8_D7,0.04459292,0.00615580,202,35
S3_D6,S7_D4,0.04454169,0.00553549,202,36
S2_D1,S5_D2,0.04448574,0.00526324,202,37
S5_D2,S5_D5,0.04442684,0.00558084,202,38
S2_D2,S3_D3,0.04440356,0.00609400,202,39
S2_D5,S5_D2,0.04437863,0.00508899,202,40
S8_D5,S8_D8,0.04435761,0.00762990,202,41
S2_D1,S4_D5,0.04435482,0.00653499,202,42
S7_D4,S8_D5,0.04433032,0.00552964,202,43
S3_D1,S4_D4,0.04432944,0.00626875,202,44
S4_D7,S8_D5,0.04432696,0.00531511,202,45
S2_D2,S5_D8,0.04432468,0.00588326,202,46
S5_D2,S7_D4,0.04431856,0.00705595,202,47
S3_D3,S7_D4,0.04425743,0.00581126,202,48
S2_D2,S4_D4,0.04425494,0.00553099,202,49
S5_D8,S8_D7,0.04424445,0.00602393,202,50
