channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13595319,0.01230255,202,59,17
S1_D3,0.16390850,0.05640474,202,59,1
S2_D2,0.13955398,0.04812511,202,59,14
S2_D1,0.14904782,0.05157354,202,59,7
S2_D5,0.12317381,0.03745583,202,59,23
S3_D1,0.14600404,0.04953749,202,59,8
S3_D3,0.13685241,0.06353514,202,59,15
S3_D4,0.13371505,0.05166928,202,59,19
S3_D6,0.15120216,0.06819938,202,59,4
S4_D4,0.13185957,0.05435500,202,59,21
S4_D5,0.13388732,0.07069788,202,59,18
S4_D7,0.15100873,0.07699842,202,59,5
S5_D2,0.14038637,0.04648843,202,59,13
S5_D5,0.14194325,0.03790720,202,59,11
S5_D8,0.12822692,0.03376447,202,59,22
S6_D3,0.15721105,0.04657687,202,59,2
S6_D6,0.13325770,0.04427041,202,59,20
S7_D4,0.14597222,0.05514163,202,59,9
S7_D6,0.15012576,0.06534299,202,59,6
S7_D7,0.14109860,0.05755467,202,59,12
S8_D5,0.15518229,0.05202138,202,59,3
S8_D7,0.14317834,0.07182264,202,59,10
S8_D8,0.13612692,0.03530445,202,59,16
