channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00507867,0.06218552,96,53,8
S1_D3,0.99687380,0.05813784,96,53,15
S2_D2,0.99556130,0.05720801,96,53,16
S2_D1,0.99330854,0.08052410,96,53,18
S2_D5,0.99883699,0.05661719,96,53,13
S3_D1,1.00717282,0.04428178,96,53,6
S3_D3,1.01356280,0.04319092,96,53,2
S3_D4,0.99328333,0.05542654,96,53,19
S3_D6,0.99523866,0.04254773,96,53,17
S4_D4,1.01399171,0.04477499,96,53,1
S4_D5,0.98558950,0.07069094,96,53,21
S4_D7,0.99998671,0.06274650,96,53,12
S5_D2,0.99836773,0.05989338,96,53,14
S5_D5,1.00729394,0.05687324,96,53,5
S5_D8,0.99113762,0.05888429,96,53,20
S6_D3,0.98456746,0.06785137,96,53,22
S6_D6,0.98117906,0.06259347,96,53,23
S7_D4,1.00650561,0.05372132,96,53,7
S7_D6,1.01150537,0.04569853,96,53,4
S7_D7,1.00318789,0.06287444,96,53,10
S8_D5,1.01171267,0.05835600,96,53,3
S8_D7,1.00177145,0.06919296,96,53,11
S8_D8,1.00428605,0.05439865,96,53,9
