channel_i,channel_j,mean,std,n_trials,rank
S4_D4,S4_D5,0.15482807,0.11563577,96,1
S3_D3,S7_D4,0.15394618,0.11415236,96,2
S2_D5,S5_D8,0.15145642,0.11921392,96,3
S4_D5,S4_D7,0.14979215,0.09354354,96,4
S3_D4,S6_D6,0.14830226,0.09164189,96,5
S4_D4,S5_D8,0.14814875,0.11333396,96,6
S2_D2,S7_D4,0.14603794,0.10783374,96,7
S3_D6,S4_D5,0.14488761,0.11948607,96,8
S3_D1,S7_D6,0.14409032,0.12559998,96,9
S1_D3,S7_D6,0.14351825,0.08734571,96,10
S2_D2,S8_D5,0.14310040,0.10258026,96,11
S2_D1,S6_D3,0.14305215,0.11928289,96,12
S8_D5,S8_D8,0.14304706,0.09475478,96,13
S3_D4,S4_D7,0.14285159,0.10430003,96,14
S1_D3,S2_D2,0.14253601,0.11754126,96,15
S3_D4,S3_D6,0.14244549,0.06526035,96,16
S3_D3,S5_D5,0.14226419,0.09950336,96,17
S1_D1,S2_D1,0.14196971,0.09948524,96,18
S4_D4,S5_D5,0.14168030,0.07932520,96,19
S4_D5,S5_D2,0.14144757,0.10921683,96,20
S2_D2,S8_D7,0.14067383,0.09852849,96,21
S6_D6,S7_D6,0.14057747,0.08010780,96,22
S3_D3,S6_D6,0.14039381,0.09557348,96,23
S3_D4,S6_D3,0.14030081,0.10230913,96,24
S4_D4,S7_D6,0.14024629,0.09582610,96,25
S2_D5,S3_D6,0.14010391,0.07604542,96,26
S4_D5,S7_D4,0.13957378,0.09407169,96,27
S1_D3,S7_D4,0.13886730,0.10093652,96,28
S3_D6,S7_D6,0.13825504,0.08355781,96,29
S1_D1,S2_D5,0.13816045,0.08517744,96,30
S4_D4,S7_D4,0.13791671,0.11591129,96,31
S1_D3,S6_D6,0.13752620,0.09870358,96,32
S2_D2,S6_D6,0.13688987,0.10250214,96,33
S4_D4,S4_D7,0.13674191,0.07873727,96,34
S2_D1,S5_D2,0.13670872,0.05622983,96,35
S4_D7,S6_D3,0.13667585,0.12350228,96,36
S3_D6,S4_D7,0.13654651,0.09352435,96,37
S4_D7,S5_D5,0.13635586,0.08488199,96,38
S3_D6,S6_D3,0.13605826,0.09723603,96,39
S3_D4,S5_D2,0.13598110,0.09755096,96,40
S4_D5,S5_D5,0.13568822,0.07954259,96,41
S8_D7,S8_D8,0.13565718,0.06275158,96,42
S2_D5,S7_D7,0.13555175,0.07399569,96,43
S1_D3,S7_D7,0.13548306,0.09961595,96,44
S2_D1,S6_D6,0.13529789,0.08758897,96,45
S4_D7,S5_D2,0.13516058,0.06513884,96,46
S1_D3,S8_D8,0.13514647,0.11139291,96,47
S2_D5,S4_D7,0.13502683,0.07476911,96,48
S7_D4,S7_D6,0.13467997,0.05045837,96,49
S4_D5,S6_D3,0.13444984,0.08512073,96,50
