channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.16630399,0.09203809,184,55,12
S1_D3,0.19267143,0.11944235,184,55,2
S2_D2,0.16743873,0.09738804,184,55,10
S2_D1,0.17266811,0.11099766,184,55,8
S2_D5,0.16016901,0.12198193,184,55,16
S3_D1,0.17468704,0.10146535,184,55,6
S3_D3,0.15357561,0.08586155,184,55,19
S3_D4,0.16194060,0.10874922,184,55,14
S3_D6,0.19626935,0.13554363,184,55,1
S4_D4,0.17029172,0.13474487,184,55,9
S4_D5,0.14282686,0.06394886,184,55,23
S4_D7,0.19041389,0.13050973,184,55,3
S5_D2,0.15310052,0.06890798,184,55,20
S5_D5,0.16105664,0.06870237,184,55,15
S5_D8,0.14793110,0.06909413,184,55,22
S6_D3,0.17428757,0.08246494,184,55,7
S6_D6,0.15173435,0.08199907,184,55,21
S7_D4,0.16711029,0.09253653,184,55,11
S7_D6,0.17771876,0.11924021,184,55,5
S7_D7,0.15760151,0.07139830,184,55,17
S8_D5,0.18329892,0.10507899,184,55,4
S8_D7,0.15684794,0.08498831,184,55,18
S8_D8,0.16216046,0.08294517,184,55,13
