window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02439317,0.00585045
1,0.80000001,2.40000010,0.02471614,0.00698868
2,1.60000002,3.20000005,0.02517999,0.00743188
3,2.40000010,4.00000000,0.02532737,0.00720913
4,3.20000005,4.80000019,0.02587347,0.00732706
5,4.00000000,5.59999990,0.02652380,0.00780178
6,4.80000019,6.40000010,0.02574021,0.00810803
7,5.59999990,7.19999981,0.02641556,0.00792138
8,6.40000010,8.00000000,0.02700568,0.00850663
9,7.19999981,8.80000019,0.02671201,0.00874201
10,8.00000000,9.60000038,0.02662816,0.00776443
11,8.80000019,10.39999962,0.02607471,0.00771587
12,9.60000038,11.19999981,0.02613288,0.00742720
13,10.39999962,12.00000000,0.02553914,0.00744749
14,11.19999981,12.80000019,0.02631830,0.00981681
15,12.00000000,13.60000038,0.02650966,0.00835085
16,12.80000019,14.39999962,0.02669718,0.00752521
17,13.60000038,15.19999981,0.02688352,0.00737240
18,14.39999962,16.00000000,0.02662575,0.00649792
19,15.19999981,16.79999924,0.02622386,0.00660352
20,16.00000000,17.60000038,0.02573313,0.00675482
21,16.79999924,18.39999962,0.02494608,0.00588935
22,17.60000038,19.20000076,0.02511723,0.00709746
23,18.39999962,20.00000000,0.02495429,0.00792866
24,19.20000076,20.79999924,0.02405443,0.00769864
25,20.00000000,21.60000038,0.02350726,0.00702331
26,20.79999924,22.39999962,0.02399502,0.00634733
27,21.60000038,23.20000076,0.02387218,0.00741791
28,22.39999962,24.00000000,0.02510897,0.00752110
29,23.20000076,24.79999924,0.02641396,0.00757597
30,24.00000000,25.60000038,0.02569167,0.00687048
31,24.79999924,26.39999962,0.02548242,0.00673762
32,25.60000038,27.20000076,0.02509846,0.00842256
33,26.39999962,28.00000000,0.02564249,0.00963200
34,27.20000076,28.79999924,0.02681184,0.01230195
35,28.00000000,29.60000038,0.02513417,0.00821735
36,28.79999924,30.39999962,0.02625338,0.00970473
37,29.60000038,31.20000076,0.02586057,0.00993046
38,30.39999962,32.00000000,0.02480186,0.00962557
