channel_i,channel_j,mean,std,n_trials,rank
S1_D1,S2_D2,0.04683682,0.00924853,177,1
S1_D3,S2_D2,0.04654108,0.00654502,177,2
S2_D5,S7_D7,0.04580525,0.00638790,177,3
S4_D7,S8_D7,0.04577251,0.00547827,177,4
S3_D4,S3_D6,0.04557541,0.00665298,177,5
S2_D2,S3_D1,0.04543924,0.00576581,177,6
S4_D4,S8_D5,0.04543870,0.00589172,177,7
S1_D1,S1_D3,0.04542625,0.00603352,177,8
S2_D5,S7_D6,0.04526312,0.00613469,177,9
S8_D7,S8_D8,0.04520897,0.00563361,177,10
S7_D7,S8_D7,0.04519926,0.00665488,177,11
S8_D5,S8_D7,0.04518015,0.00605641,177,12
S7_D4,S7_D6,0.04514952,0.00501325,177,13
S3_D6,S7_D6,0.04513856,0.00677818,177,14
S1_D1,S3_D1,0.04513261,0.00658083,177,15
S1_D3,S2_D5,0.04508002,0.00502963,177,16
S2_D2,S8_D5,0.04507207,0.00802755,177,17
S1_D1,S5_D5,0.04502917,0.00871304,177,18
S6_D6,S8_D8,0.04501965,0.00622562,177,19
S3_D3,S3_D4,0.04501582,0.00621582,177,20
S3_D3,S3_D6,0.04500691,0.00599874,177,21
S2_D2,S4_D4,0.04496762,0.00603468,177,22
S1_D1,S4_D5,0.04491881,0.00751597,177,23
S2_D1,S4_D5,0.04489210,0.00581467,177,24
S4_D7,S8_D5,0.04488608,0.00601944,177,25
S2_D1,S5_D5,0.04488013,0.00560910,177,26
S1_D1,S3_D3,0.04483279,0.00813325,177,27
S4_D4,S7_D4,0.04483240,0.00512944,177,28
S8_D5,S8_D8,0.04478050,0.00789363,177,29
S7_D6,S8_D5,0.04477393,0.00878288,177,30
S7_D4,S8_D8,0.04474898,0.00545392,177,31
S2_D1,S3_D1,0.04472600,0.00628834,177,32
S2_D5,S3_D1,0.04470872,0.00614466,177,33
S3_D1,S4_D4,0.04469466,0.00593069,177,34
S5_D5,S7_D6,0.04461179,0.00688492,177,35
S5_D2,S8_D5,0.04459231,0.00616917,177,36
S4_D5,S4_D7,0.04458764,0.00630168,177,37
S2_D2,S2_D1,0.04455938,0.00598393,177,38
S3_D3,S6_D3,0.04455497,0.00784320,177,39
S1_D3,S3_D1,0.04453689,0.00558615,177,40
S3_D6,S6_D6,0.04453195,0.00623784,177,41
S2_D2,S2_D5,0.04447529,0.00709037,177,42
S4_D7,S7_D4,0.04447363,0.00599037,177,43
S3_D1,S3_D3,0.04446721,0.00565791,177,44
S2_D5,S5_D2,0.04446435,0.00530753,177,45
S4_D7,S7_D6,0.04443100,0.00591429,177,46
S5_D2,S8_D7,0.04440660,0.00883624,177,47
S7_D6,S7_D7,0.04440156,0.00686776,177,48
S3_D3,S7_D6,0.04439867,0.00567791,177,49
S2_D1,S2_D5,0.04439745,0.00575241,177,50
