channel_i,channel_j,mean,std,n_trials,rank
S3_D3,S3_D4,0.04639222,0.00608212,97,1
S3_D3,S7_D4,0.04606257,0.00408314,97,2
S5_D5,S5_D8,0.04591641,0.00462974,97,3
S1_D1,S1_D3,0.04580054,0.00582195,97,4
S3_D1,S3_D4,0.04578750,0.00774604,97,5
S1_D1,S2_D2,0.04571465,0.00991841,97,6
S2_D5,S7_D7,0.04562569,0.00655421,97,7
S4_D4,S8_D5,0.04548677,0.00645679,97,8
S7_D6,S7_D7,0.04548381,0.00627408,97,9
S5_D5,S8_D5,0.04545247,0.00440800,97,10
S5_D5,S8_D8,0.04543958,0.00567118,97,11
S1_D3,S5_D8,0.04542663,0.00485517,97,12
S3_D3,S6_D6,0.04537984,0.00487344,97,13
S4_D5,S5_D5,0.04534486,0.00737027,97,14
S1_D3,S3_D3,0.04530928,0.00604425,97,15
S1_D3,S5_D2,0.04530825,0.00642179,97,16
S2_D1,S5_D2,0.04528379,0.00678252,97,17
S5_D5,S7_D4,0.04527501,0.00682187,97,18
S3_D4,S6_D6,0.04527199,0.00567794,97,19
S3_D1,S3_D6,0.04526625,0.00799826,97,20
S1_D1,S3_D1,0.04524227,0.00640609,97,21
S3_D1,S4_D4,0.04523222,0.00638642,97,22
S4_D5,S7_D4,0.04519161,0.00504460,97,23
S3_D6,S7_D6,0.04513438,0.00549417,97,24
S1_D1,S6_D6,0.04506546,0.00487015,97,25
S3_D6,S8_D7,0.04496343,0.00594781,97,26
S6_D3,S7_D7,0.04494995,0.00584454,97,27
S3_D1,S7_D4,0.04488282,0.00717902,97,28
S4_D7,S8_D7,0.04486690,0.00748080,97,29
S3_D3,S7_D6,0.04484756,0.00804085,97,30
S7_D4,S8_D7,0.04483123,0.00676201,97,31
S5_D2,S8_D8,0.04482290,0.00725979,97,32
S3_D3,S3_D6,0.04481471,0.00740272,97,33
S3_D4,S4_D4,0.04480784,0.00793290,97,34
S5_D2,S8_D5,0.04480408,0.00753054,97,35
S8_D7,S8_D8,0.04478972,0.00772113,97,36
S2_D2,S3_D1,0.04477849,0.00709423,97,37
S1_D1,S4_D5,0.04476548,0.00724890,97,38
S7_D7,S8_D8,0.04476531,0.00645303,97,39
S8_D5,S8_D8,0.04472794,0.00605448,97,40
S7_D7,S8_D7,0.04471460,0.00749323,97,41
S4_D4,S7_D7,0.04468201,0.00737969,97,42
S4_D4,S8_D8,0.04467134,0.00725749,97,43
S4_D7,S7_D7,0.04466051,0.00604584,97,44
S4_D4,S7_D4,0.04465496,0.00603555,97,45
S4_D7,S8_D8,0.04464571,0.00625458,97,46
S5_D8,S8_D8,0.04463180,0.00859761,97,47
S3_D4,S7_D4,0.04462704,0.01199540,97,48
S4_D4,S5_D2,0.04462521,0.00850588,97,49
S2_D5,S7_D6,0.04460142,0.00733236,97,50
