channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00629175,0.05696962,97,51,8
S1_D3,0.99578965,0.05396463,97,51,16
S2_D2,0.99679679,0.05363899,97,51,13
S2_D1,0.98070270,0.09478923,97,51,23
S2_D5,1.00110638,0.04856103,97,51,11
S3_D1,1.00296783,0.04233952,97,51,10
S3_D3,1.01158631,0.04144985,97,51,3
S3_D4,0.99979645,0.04982952,97,51,12
S3_D6,0.99273533,0.04763781,97,51,20
S4_D4,1.01347697,0.04849917,97,51,1
S4_D5,0.99341756,0.06309691,97,51,18
S4_D7,0.99583310,0.05815544,97,51,15
S5_D2,0.99313623,0.06278549,97,51,19
S5_D5,1.01203859,0.04320348,97,51,2
S5_D8,0.99489856,0.05428445,97,51,17
S6_D3,0.98660213,0.06508594,97,51,22
S6_D6,0.98753351,0.05508410,97,51,21
S7_D4,1.01019609,0.04490688,97,51,4
S7_D6,1.00309587,0.04531409,97,51,9
S7_D7,1.00848866,0.05410981,97,51,6
S8_D5,1.01007450,0.04670240,97,51,5
S8_D7,0.99669826,0.06634400,97,51,14
S8_D8,1.00673676,0.05392229,97,51,7
