window_idx,t_start_s,t_end_s,mean,std
0,0.00000000,1.60000002,0.02589549,0.00296276
1,0.80000001,2.40000010,0.02564790,0.00353570
2,1.60000002,3.20000005,0.02545524,0.00386915
3,2.40000010,4.00000000,0.02551919,0.00397467
4,3.20000005,4.80000019,0.02580386,0.00412514
5,4.00000000,5.59999990,0.02612314,0.00435053
6,4.80000019,6.40000010,0.02604962,0.00451758
7,5.59999990,7.19999981,0.02561976,0.00438022
8,6.40000010,8.00000000,0.02521172,0.00444994
9,7.19999981,8.80000019,0.02518124,0.00415533
10,8.00000000,9.60000038,0.02521731,0.00387740
11,8.80000019,10.39999962,0.02537276,0.00381159
12,9.60000038,11.19999981,0.02545269,0.00347019
13,10.39999962,12.00000000,0.02548823,0.00366478
14,11.19999981,12.80000019,0.02535633,0.00354865
15,12.00000000,13.60000038,0.02586965,0.00377142
16,12.80000019,14.39999962,0.02585564,0.00397586
17,13.60000038,15.19999981,0.02606647,0.00352120
18,14.39999962,16.00000000,0.02627566,0.00380924
19,15.19999981,16.79999924,0.02633407,0.00388096
20,16.00000000,17.60000038,0.02637075,0.00355188
21,16.79999924,18.39999962,0.02630869,0.00310946
22,17.60000038,19.20000076,0.02622913,0.00340878
23,18.39999962,20.00000000,0.02594523,0.00352262
24,19.20000076,20.79999924,0.02580702,0.00346180
25,20.00000000,21.60000038,0.02593907,0.00403817
26,20.79999924,22.39999962,0.02566333,0.00360963
27,21.60000038,23.20000076,0.02544775,0.00361503
28,22.39999962,24.00000000,0.02508440,0.00362176
29,23.20000076,24.79999924,0.02500591,0.00343163
30,24.00000000,25.60000038,0.02490595,0.00369107
31,24.79999924,26.39999962,0.02501265,0.00401724
32,25.60000038,27.20000076,0.02516680,0.00482353
33,26.39999962,28.00000000,0.02545521,0.00515361
34,27.20000076,28.79999924,0.02555032,0.00550049
35,28.00000000,29.60000038,0.02564914,0.00566071
36,28.79999924,30.39999962,0.02575839,0.00536772
37,29.60000038,31.20000076,0.02569306,0.00520706
38,30.39999962,32.00000000,0.02521123,0.00514577
