channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13699083,0.00922645,97,51,9
S1_D3,0.15420324,0.01300015,97,51,1
S2_D2,0.13258255,0.01017580,97,51,15
S2_D1,0.14260659,0.00985094,97,51,4
S2_D5,0.11658516,0.01046531,97,51,23
S3_D1,0.13980938,0.01078674,97,51,7
S3_D3,0.12990095,0.00869631,97,51,17
S3_D4,0.12798573,0.00899472,97,51,19
S3_D6,0.13863643,0.01342804,97,51,8
S4_D4,0.12362793,0.01474220,97,51,22
S4_D5,0.12861955,0.05008895,97,51,18
S4_D7,0.13626058,0.03326838,97,51,11
S5_D2,0.13304801,0.01005179,97,51,13
S5_D5,0.13660087,0.00941354,97,51,10
S5_D8,0.12541576,0.00875543,97,51,21
S6_D3,0.15163149,0.01107810,97,51,2
S6_D6,0.12796782,0.01028439,97,51,20
S7_D4,0.14083810,0.00982017,97,51,6
S7_D6,0.14221893,0.01163127,97,51,5
S7_D7,0.13458584,0.00925122,97,51,12
S8_D5,0.14690709,0.01168607,97,51,3
S8_D7,0.13194987,0.01142047,97,51,16
S8_D8,0.13291901,0.00931341,97,51,14
