channel_i,channel_j,mean,std,n_trials,rank
S4_D5,S4_D7,0.13275820,0.04229722,187,1
S3_D4,S6_D6,0.12908073,0.04244775,187,2
S3_D4,S3_D6,0.12896517,0.02870621,187,3
S2_D2,S8_D7,0.12815401,0.04136059,187,4
S3_D6,S6_D6,0.12747054,0.02273308,187,5
S4_D4,S6_D3,0.12735574,0.03105565,187,6
S3_D4,S6_D3,0.12728536,0.02640570,187,7
S2_D5,S7_D6,0.12713152,0.03782899,187,8
S1_D1,S2_D1,0.12678561,0.03730751,187,9
S7_D4,S7_D6,0.12639396,0.02261533,187,10
S4_D7,S5_D8,0.12611558,0.02920121,187,11
S8_D5,S8_D8,0.12597433,0.02795292,187,12
S4_D7,S5_D5,0.12597151,0.02374790,187,13
S4_D4,S5_D2,0.12519105,0.03945426,187,14
S3_D3,S7_D4,0.12518440,0.03325427,187,15
S5_D8,S8_D8,0.12489852,0.02580872,187,16
S3_D6,S5_D8,0.12485360,0.05616670,187,17
S4_D5,S5_D8,0.12441158,0.02607360,187,18
S2_D2,S7_D4,0.12440336,0.02716839,187,19
S4_D4,S7_D7,0.12410897,0.02046120,187,20
S8_D7,S8_D8,0.12394777,0.02032738,187,21
S7_D4,S8_D8,0.12365150,0.02537661,187,22
S2_D2,S3_D6,0.12341695,0.02930946,187,23
S4_D4,S7_D4,0.12336423,0.02691761,187,24
S3_D6,S7_D6,0.12335373,0.02190008,187,25
S3_D3,S6_D3,0.12334638,0.02903033,187,26
S4_D7,S7_D7,0.12318885,0.01764236,187,27
S2_D5,S4_D4,0.12294926,0.02386246,187,28
S4_D4,S5_D8,0.12294762,0.02477893,187,29
S5_D2,S7_D4,0.12281862,0.02337251,187,30
S6_D6,S8_D8,0.12279926,0.02515068,187,31
S4_D5,S5_D5,0.12279797,0.02384707,187,32
S2_D5,S3_D6,0.12269622,0.02253202,187,33
S2_D2,S7_D6,0.12264588,0.03047367,187,34
S2_D5,S5_D8,0.12262537,0.02966108,187,35
S3_D3,S7_D6,0.12258884,0.02145042,187,36
S2_D5,S6_D3,0.12238754,0.03111873,187,37
S2_D2,S8_D5,0.12229162,0.04033782,187,38
S2_D5,S5_D5,0.12227853,0.02166916,187,39
S2_D2,S5_D2,0.12217928,0.02302068,187,40
S3_D4,S7_D4,0.12215564,0.02639365,187,41
S3_D6,S6_D3,0.12194261,0.02338095,187,42
S6_D6,S7_D6,0.12184028,0.02875398,187,43
S4_D7,S5_D2,0.12179386,0.03237807,187,44
S4_D4,S4_D7,0.12177375,0.02170241,187,45
S4_D5,S7_D4,0.12165537,0.02276379,187,46
S2_D1,S5_D2,0.12159377,0.01927553,187,47
S2_D2,S2_D1,0.12158750,0.02014899,187,48
S2_D2,S5_D8,0.12158304,0.01788044,187,49
S3_D4,S4_D7,0.12149660,0.02227379,187,50
