task,channel,mean_hc,std_hc,mean_gad,std_gad,U,p_raw,d,p_fdr,sig_raw,sig_fdr
GNG,S1_D1,0.908286,0.043887,0.868390,0.054407,694.000000,0.002420,-0.812918,0.013913,True,True
GNG,S1_D3,0.923083,0.037748,0.911118,0.036714,573.000000,0.184790,-0.321039,0.303584,False,False
GNG,S2_D2,0.932021,0.032663,0.913415,0.035041,641.000000,0.022284,-0.550595,0.064067,True,False
GNG,S2_D1,0.912773,0.031845,0.876839,0.045569,707.000000,0.001297,-0.924771,0.013913,True,True
GNG,S2_D5,0.914873,0.039154,0.895144,0.035487,641.000000,0.022284,-0.526288,0.064067,True,False
GNG,S3_D1,0.910800,0.038606,0.888669,0.040872,633.000000,0.029808,-0.557757,0.076177,True,False
GNG,S3_D3,0.910136,0.036366,0.883032,0.034314,695.000000,0.002309,-0.765163,0.013913,True,True
GNG,S3_D4,0.892690,0.044757,0.864981,0.041127,659.000000,0.011103,-0.642884,0.051075,True,False
GNG,S3_D6,0.893105,0.041028,0.892871,0.033720,496.000000,0.810458,-0.006184,0.847297,False,False
GNG,S4_D4,0.928817,0.033804,0.921681,0.031356,557.000000,0.271149,-0.218345,0.383732,False,False
GNG,S4_D5,0.911964,0.043676,0.882479,0.045796,653.000000,0.014097,-0.659934,0.054038,True,False
GNG,S4_D7,0.894621,0.039208,0.878650,0.043089,585.000000,0.134799,-0.388907,0.238490,False,False
GNG,S5_D2,0.922807,0.037302,0.904410,0.036404,619.000000,0.048255,-0.498766,0.110987,True,False
GNG,S5_D5,0.917526,0.031548,0.884906,0.039516,715.000000,0.000870,-0.919133,0.013913,True,True
GNG,S5_D8,0.903170,0.042545,0.882283,0.037366,616.000000,0.053262,-0.519436,0.111366,False,False
GNG,S6_D3,0.903951,0.034256,0.893685,0.037592,555.000000,0.283628,-0.286331,0.383732,False,False
GNG,S6_D6,0.869313,0.045649,0.869736,0.046223,461.000000,0.810458,0.009210,0.847297,False,False
GNG,S7_D4,0.872003,0.049988,0.873727,0.054256,467.000000,0.876673,0.033139,0.876673,False,False
GNG,S7_D6,0.890303,0.045854,0.893225,0.052549,448.000000,0.672121,0.059534,0.772939,False,False
GNG,S7_D7,0.887172,0.048190,0.880844,0.042643,533.000000,0.446161,-0.138506,0.560696,False,False
GNG,S8_D5,0.902712,0.033970,0.889484,0.045924,559.000000,0.259051,-0.330724,0.383732,False,False
GNG,S8_D7,0.894912,0.041076,0.882492,0.052050,531.000000,0.463184,-0.266997,0.560696,False,False
GNG,S8_D8,0.874502,0.046366,0.853318,0.055033,593.000000,0.107768,-0.418694,0.206555,False,False
