measure,task,channel,r,p_raw,p_fdr,sig_raw,sig_fdr,n
STAIT,GNG,S1_D1,-0.096400,0.618866,0.732546,False,False,29
STAIT,GNG,S1_D3,-0.204389,0.287542,0.551122,False,False,29
STAIT,GNG,S2_D2,-0.093935,0.627905,0.732546,False,False,29
STAIT,GNG,S2_D1,-0.066815,0.730571,0.740167,False,False,29
STAIT,GNG,S2_D5,-0.248767,0.193157,0.461253,False,False,29
STAIT,GNG,S3_D1,-0.244823,0.200545,0.461253,False,False,29
STAIT,GNG,S3_D3,-0.254931,0.181996,0.461253,False,False,29
STAIT,GNG,S3_D4,-0.441815,0.016416,0.377564,True,False,29
STAIT,GNG,S3_D6,-0.292160,0.124073,0.461253,False,False,29
STAIT,GNG,S4_D4,-0.254685,0.182434,0.461253,False,False,29
STAIT,GNG,S4_D5,-0.071992,0.710549,0.740167,False,False,29
STAIT,GNG,S4_D7,-0.134122,0.487905,0.701364,False,False,29
STAIT,GNG,S5_D2,-0.365385,0.051284,0.461253,False,False,29
STAIT,GNG,S5_D5,-0.148915,0.440723,0.675776,False,False,29
STAIT,GNG,S5_D8,-0.274902,0.148950,0.461253,False,False,29
STAIT,GNG,S6_D3,-0.091469,0.636996,0.732546,False,False,29
STAIT,GNG,S6_D6,-0.064349,0.740167,0.740167,False,False,29
STAIT,GNG,S7_D4,-0.219428,0.252754,0.528486,False,False,29
STAIT,GNG,S7_D6,-0.164941,0.392528,0.644868,False,False,29
STAIT,GNG,S7_D7,-0.096400,0.618866,0.732546,False,False,29
STAIT,GNG,S8_D5,-0.308186,0.103844,0.461253,False,False,29
STAIT,GNG,S8_D7,-0.185651,0.334945,0.592595,False,False,29
STAIT,GNG,S8_D8,-0.283284,0.136454,0.461253,False,False,29
HAMA,GNG,S1_D1,0.069022,0.727092,0.846497,False,False,28
HAMA,GNG,S1_D3,-0.047658,0.809693,0.846497,False,False,28
HAMA,GNG,S2_D2,-0.182142,0.353587,0.781573,False,False,28
HAMA,GNG,S2_D1,0.049849,0.801112,0.846497,False,False,28
HAMA,GNG,S2_D5,-0.121063,0.539439,0.827140,False,False,28
HAMA,GNG,S3_D1,-0.219666,0.261372,0.667950,False,False,28
HAMA,GNG,S3_D3,0.059984,0.761733,0.846497,False,False,28
HAMA,GNG,S3_D4,-0.411942,0.029393,0.330940,True,False,28
HAMA,GNG,S3_D6,-0.323747,0.092838,0.385922,False,False,28
HAMA,GNG,S4_D4,-0.316626,0.100675,0.385922,False,False,28
HAMA,GNG,S4_D5,-0.136949,0.487111,0.800254,False,False,28
HAMA,GNG,S4_D7,-0.144344,0.463665,0.800254,False,False,28
HAMA,GNG,S5_D2,-0.055601,0.778697,0.846497,False,False,28
HAMA,GNG,S5_D5,0.080526,0.683759,0.846497,False,False,28
HAMA,GNG,S5_D8,-0.109011,0.580822,0.834932,False,False,28
HAMA,GNG,S6_D3,-0.004930,0.980136,0.980136,False,False,28
HAMA,GNG,S6_D6,-0.174747,0.373796,0.781573,False,False,28
HAMA,GNG,S7_D4,-0.506163,0.005992,0.137817,True,False,28
HAMA,GNG,S7_D6,-0.252534,0.194806,0.640077,False,False,28
HAMA,GNG,S7_D7,-0.158587,0.420230,0.800254,False,False,28
HAMA,GNG,S8_D5,-0.353328,0.065125,0.374470,False,False,28
HAMA,GNG,S8_D7,-0.384826,0.043166,0.330940,True,False,28
HAMA,GNG,S8_D8,-0.236100,0.226450,0.651044,False,False,28
