channel,d_match,p_raw_match,p_fdr_match,sig_raw_match
S1_D1,-0.694782,0.041282,0.128029,True
S1_D3,-0.278185,0.248169,0.335758,False
S2_D2,-0.524461,0.044532,0.128029,True
S2_D1,-0.852904,0.013005,0.099706,True
S2_D5,-0.636095,0.038235,0.128029,True
S3_D1,-0.781708,0.021802,0.125362,True
S3_D3,-0.634489,0.032712,0.128029,True
S3_D4,-1.044290,0.006205,0.071359,True
S3_D6,-0.105406,0.739734,0.798461,False
S4_D4,-0.539396,0.073844,0.165387,False
S4_D5,-0.488174,0.159155,0.281583,False
S4_D7,-0.624908,0.079098,0.165387,False
S5_D2,-0.353704,0.235446,0.335758,False
S5_D5,-1.056520,0.003427,0.071359,True
S5_D8,-0.751437,0.059769,0.152742,False
S6_D3,-0.472045,0.159155,0.281583,False
S6_D6,0.000565,0.962148,0.962148,False
S7_D4,-0.241268,0.496359,0.634236,False
S7_D6,0.100199,0.558337,0.675881,False
S7_D7,-0.017389,0.623852,0.717430,False
S8_D5,-0.554480,0.248169,0.335758,False
S8_D7,-0.252265,0.763745,0.798461,False
S8_D8,-0.417052,0.211400,0.335758,False
