channel,d_overlap,p_raw_overlap,p_fdr_overlap
S1_D1,-1.168852,0.007155,0.082278
S1_D3,-0.621864,0.110473,0.258696
S2_D2,-0.437561,0.168715,0.258696
S2_D1,-0.741699,0.137338,0.258696
S2_D5,-0.600556,0.102459,0.258696
S3_D1,-0.859185,0.137338,0.258696
S3_D3,-0.452019,0.180230,0.259080
S3_D4,-0.479595,0.204905,0.277224
S3_D6,-0.401412,0.463193,0.531106
S4_D4,-0.406065,0.218082,0.278660
S4_D5,0.064239,0.727649,0.727649
S4_D7,-0.864522,0.063262,0.258696
S5_D2,-0.250658,0.484923,0.531106
S5_D5,-1.260045,0.007155,0.082278
S5_D8,-0.985979,0.040564,0.233241
S6_D3,-0.901479,0.087761,0.258696
S6_D6,-0.769428,0.168715,0.258696
S7_D4,-0.706055,0.168715,0.258696
S7_D6,-0.612878,0.362705,0.439064
S7_D7,-0.513758,0.127899,0.258696
S8_D5,-0.850691,0.157735,0.258696
S8_D7,-1.186605,0.033561,0.233241
S8_D8,-0.530582,0.727649,0.727649
