measure,channel,n,r_raw_n18,p_raw_n18,r_partial_age,p_partial_age,p_fdr_raw_n18,p_fdr_partial_age
STAIT,S1_D1,18,-0.002070,0.993495,0.021672,0.931980,0.996747,0.951388
HAMA,S1_D1,17,0.180368,0.488469,0.183824,0.480034,0.882370,0.849292
STAIT,S1_D3,18,0.062112,0.806583,-0.029928,0.906160,0.996747,0.951388
HAMA,S1_D3,17,0.288344,0.261708,0.252451,0.328294,0.882370,0.838974
STAIT,S2_D2,18,0.303314,0.221122,0.275542,0.268425,0.996747,0.906701
HAMA,S2_D2,17,0.002454,0.992542,-0.080882,0.757633,0.992542,0.913564
STAIT,S2_D1,18,0.120083,0.635059,0.044376,0.861206,0.996747,0.951388
HAMA,S2_D1,17,0.204908,0.430152,0.200980,0.439234,0.882370,0.841865
STAIT,S2_D5,18,-0.050725,0.841570,-0.095975,0.704812,0.996747,0.951388
HAMA,S2_D5,17,0.130061,0.618813,0.080882,0.757633,0.882370,0.913564
STAIT,S3_D1,18,-0.215322,0.390848,-0.271414,0.275952,0.996747,0.906701
HAMA,S3_D1,17,-0.171779,0.509739,-0.264706,0.304542,0.882370,0.838974
STAIT,S3_D3,18,-0.184266,0.464197,-0.205366,0.413635,0.996747,0.951388
HAMA,S3_D3,17,0.117791,0.652533,0.093137,0.722186,0.882370,0.913564
STAIT,S3_D4,18,-0.333335,0.176461,-0.368421,0.132487,0.996747,0.906701
HAMA,S3_D4,17,-0.188957,0.467636,-0.225490,0.384197,0.882370,0.841865
STAIT,S3_D6,18,0.001035,0.996747,-0.025800,0.919060,0.996747,0.951388
HAMA,S3_D6,17,-0.122699,0.638964,-0.122549,0.639378,0.882370,0.913564
STAIT,S4_D4,18,0.125259,0.620433,0.081527,0.747759,0.996747,0.951388
HAMA,S4_D4,17,0.122699,0.638964,0.080882,0.757633,0.882370,0.913564
STAIT,S4_D5,18,0.116978,0.643896,0.083591,0.741577,0.996747,0.951388
HAMA,S4_D5,17,0.101841,0.697328,0.026961,0.918191,0.882370,0.918191
STAIT,S4_D7,18,-0.004141,0.986990,0.157895,0.531483,0.996747,0.951388
HAMA,S4_D7,17,0.134969,0.605520,0.257353,0.318668,0.882370,0.838974
STAIT,S5_D2,18,-0.246378,0.324352,-0.287926,0.246615,0.996747,0.906701
HAMA,S5_D2,17,-0.031902,0.903259,-0.056373,0.829849,0.989283,0.913564
STAIT,S5_D5,18,0.009317,0.970732,-0.040248,0.874015,0.996747,0.951388
HAMA,S5_D5,17,0.209816,0.418943,0.267157,0.299918,0.882370,0.838974
STAIT,S5_D8,18,-0.193583,0.441499,-0.192982,0.442944,0.996747,0.951388
HAMA,S5_D8,17,0.012270,0.962722,0.046569,0.859133,0.992542,0.913564
STAIT,S6_D3,18,0.057971,0.819269,0.069143,0.785148,0.996747,0.951388
HAMA,S6_D3,17,0.353374,0.164104,0.389706,0.122034,0.882370,0.777818
STAIT,S6_D6,18,0.037267,0.883281,-0.147575,0.558970,0.996747,0.951388
HAMA,S6_D6,17,-0.220859,0.394294,-0.205882,0.427915,0.882370,0.841865
STAIT,S7_D4,18,-0.149069,0.554952,-0.366357,0.134837,0.996747,0.906701
HAMA,S7_D4,17,-0.290798,0.257487,-0.438725,0.078117,0.882370,0.777818
STAIT,S7_D6,18,0.026915,0.915573,0.015480,0.951388,0.996747,0.951388
HAMA,S7_D6,17,-0.044172,0.866321,-0.083333,0.750504,0.989283,0.913564
STAIT,S7_D7,18,0.152175,0.546642,0.131063,0.604194,0.996747,0.951388
HAMA,S7_D7,17,0.090798,0.728915,0.041667,0.873844,0.882370,0.913564
STAIT,S8_D5,18,-0.380954,0.118828,-0.415893,0.086056,0.996747,0.906701
HAMA,S8_D5,17,-0.235583,0.362689,-0.377451,0.135273,0.882370,0.777818
STAIT,S8_D7,18,-0.148034,0.557734,-0.017544,0.944915,0.996747,0.951388
HAMA,S8_D7,17,-0.301841,0.239019,-0.274510,0.286298,0.882370,0.838974
STAIT,S8_D8,18,-0.321948,0.192620,-0.314757,0.203314,0.996747,0.906701
HAMA,S8_D8,17,-0.330062,0.195719,-0.389706,0.122034,0.882370,0.777818
